case_id,ori9,year,offense,level1_status,level2_status,reason_code,repair_mode,replacement_count,external_check_status,evidence_source
houma-murder-reconstruction,LA0550100,2024,murder,valid_complete_year,wrong_category_mapping,documented_reporting_transition_mapping_break,source_supported_replacement,2,available,Houma truth archive reconstruction: two independently documented HPD murders
houma-rape-mapping-break,LA0550100,2024,rape,valid_partial_lower_bound,wrong_category_mapping,documented_reporting_transition_mapping_break,decayed_own_history,,unavailable,Houma truth archive supports a mapping break but not an exact 2024 rape count
accept-uprr,CA0190I00,2024,*,valid_complete_year,definitionally_complete,verified_genuine_episodic_low,none,,available,stage1 token adjudication c-CA0190I00-uprr-los-angeles-county
accept-maries,MO0630000,2024,*,valid_complete_year,definitionally_complete,verified_genuine_low,none,,available,stage1 token adjudication c-MO0630000-maries
accept-waldo,ME0140000,2024,*,valid_complete_year,definitionally_complete,verified_genuine_low,none,,available,stage1 token adjudication c-ME0140000-waldo
accept-etowah,TN0540300,2024,*,valid_complete_year,definitionally_complete,verified_primary_state_record_low,none,,available,stage1 token adjudication c-TN0540300-etowah
accept-new-orleans-rape,LANPD0000,2024,rape,valid_complete_year,definitionally_complete,verified_local_publication_extreme,none,708,available,NOPD SVD annual summary
new-orleans-agg-assault,LANPD0000,2024,aggravated_assault,valid_complete_year,wrong_category_mapping,official_nopd_annual_contradiction,source_supported_replacement,1367,contradiction_confirmed,"NOPD 2024 Annual Preliminary Crime Statistics: Agg. Battery 539 + Agg. Assault/Damage 828 = 1,367; https://nopdnews.com/nopdnews/media/Assets/Post%20Images/2024-Annual-Crime-Comparisons.pdf; NOPD UCR classification includes aggravated batteries and aggravated assaults; https://nola.gov/archived/nopd/documents/ucrclassifyingcrimespowerpoint/"
accept-carlisle-murder,PA0210200,2024,murder,valid_complete_year,definitionally_complete,verified_local_extreme,none,5,available,Carlisle PA reviewed murder count
accept-long-island-suffolk,NY0510100,2024,*,valid_complete_year,definitionally_complete,verified_state_publication_low_rate,none,,available,NY DCJS Suffolk County PD 2024 lane
wichita-murder,KS0870300,2024,murder,valid_complete_year,channel_omitted,complete_twelve_month_cde_vector_missing_upstream,source_supported_replacement,33,contradiction_confirmed,FBI CDE complete 12-month Wichita vector in round-2 blind-review record
wichita-rape,KS0870300,2024,rape,valid_complete_year,channel_omitted,complete_twelve_month_cde_vector_missing_upstream,source_supported_replacement,343,contradiction_confirmed,FBI CDE complete 12-month Wichita vector in round-2 blind-review record
wichita-robbery,KS0870300,2024,robbery,valid_complete_year,channel_omitted,complete_twelve_month_cde_vector_missing_upstream,source_supported_replacement,431,contradiction_confirmed,FBI CDE complete 12-month Wichita vector in round-2 blind-review record
wichita-aggravated-assault,KS0870300,2024,aggravated_assault,valid_complete_year,channel_omitted,complete_twelve_month_cde_vector_missing_upstream,source_supported_replacement,4092,contradiction_confirmed,FBI CDE complete 12-month Wichita vector in round-2 blind-review record
wichita-burglary,KS0870300,2024,burglary,valid_complete_year,channel_omitted,complete_twelve_month_cde_vector_missing_upstream,source_supported_replacement,2628,contradiction_confirmed,FBI CDE complete 12-month Wichita vector in round-2 blind-review record
wichita-larceny,KS0870300,2024,larceny,valid_complete_year,channel_omitted,complete_twelve_month_cde_vector_missing_upstream,source_supported_replacement,15717,contradiction_confirmed,FBI CDE complete 12-month Wichita vector in round-2 blind-review record
wichita-mvt,KS0870300,2024,motor_vehicle_theft,valid_complete_year,channel_omitted,complete_twelve_month_cde_vector_missing_upstream,source_supported_replacement,2420,contradiction_confirmed,FBI CDE complete 12-month Wichita vector in round-2 blind-review record
extadj-al0030100-murder,AL0030100,2024,murder,valid_complete_year,channel_omitted,official_agency_publication_contradiction,source_supported_replacement,61,contradiction_confirmed,Montgomery PD year-end 2024 release via WAKA 8 (Jan 3 2025): 61 homicides vs filed 35
extadj-va1190000-murder,VA1190000,2024,murder,valid_complete_year,wrong_category_mapping,official_agency_publication_contradiction,source_supported_replacement,11,contradiction_confirmed,Petersburg police chief year-end presser via WTVR (Jan 3 2025): 11 homicides 2024 vs filed 15
extadj-ky0560300-agg,KY0560300,2024,aggravated_assault,valid_complete_year,channel_omitted,official_local_state_contradiction,source_supported_replacement,16,contradiction_confirmed,"KSP 2024 Crime in Kentucky, St. Matthews PD row: agg assault 16 vs filed 8"
extadj-ky0560300-murder,KY0560300,2024,murder,valid_complete_year,channel_omitted,official_local_state_contradiction,source_supported_replacement,1,contradiction_confirmed,"KSP 2024 Crime in Kentucky, St. Matthews PD row: murder 1 vs filed 0"
extadj-ky0561000-agg,KY0561000,2024,aggravated_assault,valid_complete_year,channel_omitted,official_local_state_contradiction,source_supported_replacement,9,contradiction_confirmed,"KSP 2024 Crime in Kentucky, Jeffersontown PD row: agg assault 9 vs filed 5"
extadj-ky0561000-murder,KY0561000,2024,murder,valid_complete_year,channel_omitted,official_local_state_contradiction,source_supported_replacement,5,contradiction_confirmed,"KSP 2024 Crime in Kentucky, Jeffersontown PD row: murder 5 vs filed 3"
extadj-la0480000-murder,LA0480000,2024,murder,valid_complete_year,wrong_category_mapping,official_local_state_contradiction,source_supported_replacement,5,contradiction_confirmed,"Crime in Louisiana 2024 Table 9, St. John the Baptist: murder 5 vs filed 8"
extadj-ct0013100-burglary,CT0013100,2024,burglary,valid_complete_year,wrong_category_mapping,official_local_state_contradiction,source_supported_replacement,50,contradiction_confirmed,"CT DESPP 2024 Crimes by Offense and Town, Southington PD: burglary 50 vs filed 78"
calib-ia0770300-murder,IA0770300,2024,murder,valid_complete_year,channel_omitted,official_agency_publication_contradiction,source_supported_replacement,17,contradiction_confirmed,DMPD year-end 2024 count: 17 homicides vs filed 9 (calibration round external check)
calib-tx0860100-murder,TX0860100,2024,murder,valid_complete_year,channel_omitted,official_agency_publication_contradiction,source_supported_replacement,1,contradiction_confirmed,"Fredericksburg PD capital-murder case Jan 2024 (named victim, PD-charged) vs filed 0"
calib-nv0130000-murder,NV0130000,2024,murder,valid_complete_year,channel_omitted,official_agency_publication_contradiction,source_supported_replacement,1,contradiction_confirmed,Carson City SO 2024 annual crime review: one homicide vs filed 0
