ori,year,offense,final_reporting_regime,evidence_type,source_note,confidence,reviewer_note
FL0060600,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows the annual total concentrated in a single reported month.,0.99,Keep lumpy_or_batched; the monthly pattern is fully batched rather than partial reporting.
FL0060600,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all reported monthly activity concentrated in a single month despite 12 reported months.,0.98,Retain lumpy_or_batched; this looks like batched reporting rather than true monthly spread.
FL0060600,2024,robbery,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one reported month carrying the full annual total.,0.99,"Keep lumpy_or_batched: 1 nonzero month, 12 reported months, and annual total aligns exactly."
FL0130400,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows concentrated SRS activity with only 4 nonzero months and a lumpiness flag.,0.98,Pattern still looks batched rather than genuinely monthly.
FL0130400,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows uneven monthly concentration despite 8 reported months.,0.9,"Reported months are present, but the distribution is still lumpy enough to keep the batching label."
FL0130400,2024,robbery,true_partial,queue_payload_lumpiness_signal,Queue payload shows reporting in only part of the year with counts spread across multiple months.,0.86,"This is partial monthly reporting, not simple batching."
FL013670X,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months and no usable SRS.,0.96,Keep annual-only-butable usable; no evidence of true monthly observation.
FL013950X,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months and no usable SRS.,0.97,Keep annual-only classification; no evidence of a monthly-usable feed.
FL0290300,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one nonzero month and all reported activity concentrated in a single month.,0.99,Retain lumpy_or_batched because the monthly pattern is fully concentrated.
FL0290300,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one nonzero month and all reported activity concentrated in a single month.,0.99,Same reporting pattern as the other Temple Terrace case.
FL0290300,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,One month carries the full annual SRS total despite 12 reported months.,0.99,"The payload shows batching, not genuine monthly spread."
FL0290300,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,Annual SRS total is concentrated in one month despite 12 months reported.,0.99,Keep lumpy_or_batched; the payload shows one-month concentration with no support for true monthly reporting.
FL0360000,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one observed month carrying the full annual total.,0.99,The series is effectively single-month reporting despite 12 months listed.
FL0360000,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows the annual total concentrated in a single reported month.,0.99,"Only one month is nonzero, so this remains lumpy reporting."
FL0360000,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all reported volume concentrated in a single month despite 12 months flagged as reported.,0.99,Retain lumpy_or_batched: the monthly pattern is still fully concentrated and looks batched.
FL0360000,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,"Payload shows 12 reported months but all activity concentrated in one month, matching a batched annual return.",0.99,Keep as lumpy_or_batched; the reported months are present but the counts are effectively all in one month.
FL0360000,2024,rape,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows only one nonzero reporting month and a max month share of 1.0.,0.99,Keep as lumpy_or_batched; the annual total is concentrated in a single month.
FL0360000,2024,robbery,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all annual Part I activity concentrated in one month.,0.99,Keep lumpy_or_batched; the annual total is effectively batched.
FL0470000,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,"Queue payload shows one nonzero month despite 12 reported months, indicating concentration rather than full monthly reporting.",0.99,Keep as batched reporting; the annual total is concentrated in a single month.
FL0470000,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all annual Part I activity concentrated in one month.,0.99,Single-month concentration supports batched or lumped reporting.
FL0470000,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,One month carries the full annual SRS total despite 12 reported months.,0.99,"Counts are concentrated in a single reported month, consistent with batching."
FL0470000,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all annual activity concentrated in one month.,0.98,One-month concentration supports batched reporting.
FL0480000,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows 12 reported months but all activity is concentrated in one month.,0.99,Keep lumpy_or_batched; SRS and NIBRS both point to a concentrated annual batch.
FL0480000,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all reported SRS activity concentrated in one month.,0.98,Single-month nonzero pattern supports batched reporting.
FL0480000,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows a strongly concentrated annual SRS pattern.,0.96,"One-month concentration plus SRS/NIBRS mismatch still supports batching, not true monthly reporting."
FL0480000,2024,rape,lumpy_or_batched,queue_payload_lumpiness_signal,One month carries the entire SRS total despite 12 reported months.,0.98,"Annual SRS is concentrated in a single month, consistent with batching."
FL0480000,2024,robbery,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows 12 reported months but all activity is concentrated in one month.,0.99,Kept as lumpy/batched because the monthly series is effectively single-month reporting.
FL0480100,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all reported SRS activity concentrated in one month.,0.99,Single-month nonzero pattern supports batched reporting.
FL0480100,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all reported monthly activity concentrated in a single month despite 12 reported months.,0.98,Retain lumpy_or_batched; the payload is internally consistent with batched annual reporting.
FL0480100,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows a single nonzero month and a fully concentrated annual total.,0.98,Retain lumpy_or_batched; there is no defensible evidence of genuine monthly reporting here.
FL0480100,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows only one nonzero reporting month and no evidence of monthly spread.,0.99,Keep as lumpy_or_batched; the pattern is concentrated rather than genuinely monthly.
FL0480100,2024,rape,lumpy_or_batched,queue_payload_lumpiness_signal,The payload shows one nonzero month carrying the full annual total.,0.99,Keep lumpy_or_batched; the distribution is highly concentrated and not defensible as monthly reporting.
FL0480100,2024,robbery,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all 37 incidents concentrated in one reported month.,0.99,Keep as lumpy_or_batched; this remains a highly concentrated annual SRS pattern.
FL0480600,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one active month and a fully concentrated annual total.,0.99,Evidence points to batching rather than true monthly reporting.
FL0480600,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,The payload shows the annual count concentrated in a single month.,0.99,"Twelve months are listed, but one month carries the full observed activity."
FL0480600,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Payload shows all annual volume concentrated in one reported month.,0.99,Keep lumpy_or_batched; the reported months are not distributed across the year.
FL0480600,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,"One month holds the entire annual total, which is consistent with batching.",0.97,No evidence of genuine monthly reporting.
FL0500000,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all annual SRS total concentrated in one month.,0.99,"Monthly pattern is still batched, not true monthly reporting."
FL0500000,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows a single-month concentration despite 12 reported months.,0.99,Keep as lumpy/batched; the pattern is identical to an annual dump into one month.
FL0500000,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all reported volume concentrated in a single month despite 12 months flagged as reported.,0.99,Retain lumpy_or_batched: the monthly pattern is still fully concentrated and looks batched.
FL0500000,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,"All 12 months are reported, but the observed activity is concentrated in one month.",0.99,Single-month concentration with a full month set supports batched reporting.
FL0500000,2024,rape,lumpy_or_batched,queue_payload_lumpiness_signal,The payload shows one active month with the annual total concentrated there.,0.99,No basis to reclassify; the pattern is still strongly batched.
FL0500000,2024,robbery,lumpy_or_batched,queue_payload_lumpiness_signal,The queue payload indicates a single-month concentration across the year.,0.99,Retain lumpy_or_batched; nothing in the payload supports partial or monthly reporting.
FL0500100,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all reported SRS activity concentrated in one month.,0.99,Single-month nonzero pattern supports batched reporting.
FL0500100,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,The queue payload shows annual volume concentrated in a single reported month.,0.99,Treat as batched reporting; monthly pattern is not genuine.
FL0500100,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Payload shows all annual volume concentrated in one reported month.,0.99,Keep lumpy_or_batched; the annual total is concentrated rather than genuinely monthly.
FL0500100,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,"Reported months are fully set, but the annual total is concentrated in a single month.",0.99,Keep lumpy_or_batched; this looks batched rather than genuinely monthly.
FL0500500,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all reported SRS activity concentrated in one month.,0.99,Single-month nonzero pattern supports batched reporting.
FL0500500,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Payload shows 12 reported months but only one nonzero month.,0.99,The observed pattern remains highly concentrated.
FL0500500,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all annual SRS total concentrated in one month.,0.99,Pattern remains batched despite 12 reported months.
FL0500500,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one nonzero month with the full annual total concentrated there.,0.99,"Retain lumpy_or_batched; this looks like batched annual reporting, not true monthly spread."
FL0500500,2024,rape,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all annual activity concentrated in one month.,0.98,Single-month concentration supports batched reporting.
FL0500500,2024,robbery,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all annual Part I activity concentrated in one month.,0.99,Single-month concentration supports batched or lumped reporting.
FL0500700,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all reported monthly activity concentrated in a single month despite 12 reported months.,0.98,Retain lumpy_or_batched; the monthly pattern remains highly concentrated and not defensibly partial.
FL0500700,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows 12 reported months but all activity is concentrated in one month.,0.99,"Keep lumpy_or_batched; the pattern is batched annual reporting, not genuine monthly spread."
FL0500700,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one nonzero reported month and the annual total is concentrated in that month.,0.98,Keep lumpy_or_batched because the observed support is still highly concentrated in a single month.
FL0500700,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,The reported activity is concentrated in one month despite twelve months being listed.,0.99,Keep the current regime; this is classic lumpiness in the queue data.
FL0500700,2024,rape,lumpy_or_batched,queue_payload_lumpiness_signal,Only one month carries the annual total even though 12 months are listed.,0.98,"This is batched reporting, not a true partial or full monthly series."
FL0500700,2024,robbery,lumpy_or_batched,queue_payload_lumpiness_signal,The payload shows all 12 months reported but only one nonzero month and a 100% max month share.,0.99,Keep as lumpy_or_batched; this is concentrated reporting rather than true monthly spread.
FL0501200,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,The payload shows the annual count concentrated in a single month.,0.99,The monthly pattern remains fully concentrated despite twelve reported months.
FL0501200,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one active month and a fully concentrated annual total.,0.99,"Pattern is batched, not genuine monthly reporting."
FL0501200,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows the annual total concentrated in a single reported month.,0.99,"One month carries all observed activity, which fits batched reporting."
FL0501200,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one reported month carrying the full annual total.,0.99,"Keep lumpy_or_batched: 1 nonzero month, 12 reported months, and annual total aligns exactly."
FL0501200,2024,robbery,lumpy_or_batched,queue_payload_lumpiness_signal,Annual total appears concentrated in one reported month despite 12 months listed.,0.98,Keep as batched; the reported months do not support a full monthly interpretation.
FL0501900,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,The payload shows a single active month holding the full annual count.,0.98,"This is concentrated annual reporting, not true monthly spread."
FL0501900,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all 38 incidents concentrated in one reported month.,0.99,Keep as lumpy_or_batched; the pattern is still a single-month concentration signal.
FL0501900,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Payload indicates all reported activity is concentrated in one month despite 12 months being listed.,0.99,Keep lumpy_or_batched; there is no defensible sign of true monthly reporting here.
FL0502800,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one active month and a fully concentrated annual total.,0.99,Single-month concentration supports batched reporting.
FL0502800,2024,burglary,annual_only_but_usable,queue_payload_lumpiness_signal,"Queue payload shows the full count sitting in one month, so the annual total is usable.",0.94,The monthly shape is effectively a single annual lump.
FL0502800,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows a single-month concentration despite 12 reported months.,0.97,Keep as lumpy/batched; the monthly series still collapses into one month.
FL0502800,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one reported month carrying the full annual Part I total.,0.99,High lumpiness with a single nonzero month; keep batched classification.
FL0509500,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows 12 reported months but all activity is concentrated in one month.,0.99,Kept as lumpy/batched because the monthly pattern is not true monthly reporting.
FL0509500,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Only one month is nonzero while the annual total is fully populated.,0.98,Pattern matches batched annual reporting in the queue payload.
FL0509500,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Payload shows all annual volume concentrated in one reported month.,0.99,"Keep lumpy_or_batched; this is batched reporting, not monthly reporting."
FL0509500,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,The payload shows all 12 months reported but only one nonzero month and a 100% max month share.,0.99,Keep as lumpy_or_batched; monthly coverage is reported but not meaningfully distributed.
FL0521100,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all annual Part I activity concentrated in one month.,0.99,Single-month concentration supports batched or lumped reporting.
FL0521100,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows a single nonzero month and a full-year total consistent with batched reporting.,0.98,Keep as lumpy_or_batched; the observed pattern remains highly concentrated and unsupported as monthly reporting.
FL0521100,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one nonzero reported month with full annual concentration in the observed data.,0.98,"The payload still supports batched reporting, not true monthly submission."
FL0521100,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all annual Part I activity concentrated in one month.,0.99,Single-month concentration supports batched or lumped reporting.
FL0521100,2024,robbery,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one reported month carrying the full annual Part I total.,0.99,High lumpiness with a single nonzero month; keep batched classification.
FL0521400,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows the annual total concentrated in a single reported month.,0.99,"Keep lumpy_or_batched; the payload indicates batched reporting, not genuine monthly coverage."
FL0521400,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,"Payload shows a single-month concentration of the annual count, consistent with batching.",0.99,"Retain lumpy_or_batched; the pattern is concentrated annual reporting, not partial or full monthly reporting."
FL0521400,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all reported volume concentrated in a single month despite 12 months flagged as reported.,0.99,Retain lumpy_or_batched: the monthly pattern is still fully concentrated and looks batched.
FL0521400,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,"Payload shows 12 reported months with the full count concentrated in one month, indicating batching rather than true monthly reporting.",0.99,Retain lumpy_or_batched; this looks like an annual total placed into a single month.
FL0521400,2024,murder,lumpy_or_batched,queue_payload_lumpiness_signal,"Queue payload shows all 12 months reported but only one nonzero month, with the full annual total concentrated in that month.",0.98,Monthly pattern is still highly batched rather than genuinely monthly.
FL0521400,2024,rape,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows a single nonzero month and a full-year total consistent with batched reporting.,0.98,Keep as lumpy_or_batched; the monthly pattern is still concentrated and not defensible as true monthly reporting.
FL0521400,2024,robbery,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows 12 reported months but all activity is concentrated in one month.,0.99,Keep lumpy_or_batched; the annual total is concentrated into a single reported month.
FL052990X,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,NIBRS annual incident support is present with 12 reported months.,0.96,No defensible monthly observation; keep annual-only-but-usable.
FL0530000,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows a single nonzero reported month with a 100% max month share and matching annual total.,0.98,Retain lumpy_or_batched; the monthly pattern is still clearly batched rather than truly monthly.
FL0530000,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows a single-month concentration despite 12 reported months.,0.99,Keep as lumpy/batched; the annual total is effectively carried by one month.
FL0530000,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows the full annual total concentrated in a single reported month.,0.99,Keep lumpy_or_batched; only one month carries the entire annual count.
FL0530000,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,One month carries the full annual SRS total despite 12 reported months.,0.99,"Monthly placeholders are present, but the observed counts are fully concentrated in one month."
FL0530000,2024,rape,lumpy_or_batched,queue_payload_lumpiness_signal,The payload shows the annual count concentrated in a single month.,0.99,"This is still a batched-looking annual return, not a monthly series."
FL0530000,2024,robbery,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows a single nonzero month and a full-year total consistent with batched reporting.,0.98,Keep as lumpy_or_batched; the payload still reads as concentrated annual submission rather than monthly observation.
FL0530100,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all 37 incidents concentrated in one reported month.,0.99,Keep as lumpy_or_batched; the payload supports batching rather than monthly reporting.
FL0530100,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,The queue payload shows a single nonzero month with all annual SRS volume concentrated there.,0.99,Keep as batched/lumpy reporting; no evidence of genuine monthly series.
FL0530100,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Payload shows all annual volume concentrated in one reported month.,0.99,Keep lumpy_or_batched; one-month concentration supports batching.
FL0531600,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one nonzero month with the full annual total concentrated there.,0.99,Retain lumpy_or_batched; the pattern is batched rather than genuinely monthly.
FL0531600,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,"Queue payload shows one nonzero month despite 12 reported months, indicating concentration rather than full monthly reporting.",0.99,Keep as batched reporting; the payload is still highly concentrated in one month.
FL0531600,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one observed month carrying the full annual total.,0.99,The series is effectively single-month reporting despite 12 months listed.
FL0531600,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,The payload shows all 12 months reported but only one nonzero month and a 100% max month share.,0.99,Keep as lumpy_or_batched; the annual total is concentrated into one reported month.
FL0580300,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,The queue payload indicates one nonzero month and a fully concentrated annual count.,0.99,No defensible basis to reclassify away from lumpy_or_batched.
FL0580300,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one reported month carrying the full annual total.,0.99,"Keep lumpy_or_batched: 1 nonzero month, 12 reported months, and annual total aligns exactly."
FL0580300,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,"All 12 months are reported, but the observed activity is concentrated in one month.",0.99,Single-month concentration with a full month set supports batched reporting.
FL0580300,2024,rape,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one reported month carrying the full annual Part I total.,0.99,High lumpiness with a single nonzero month; keep batched classification.
FL0590000,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all reported monthly activity concentrated in a single month despite 12 reported months.,0.98,"Retain lumpy_or_batched; the payload supports batched annual totals, not full monthly reporting."
FL0590000,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Payload shows 12 reported months but only one nonzero month.,0.99,Pattern is concentrated enough to keep the lumpy label.
FL0590000,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows the annual total concentrated in a single month.,0.98,Twelve reported months but only one nonzero month; this is batched reporting.
FL0590000,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one nonzero month with the full annual total concentrated there.,0.99,Retain lumpy_or_batched; reported months are present but the counts are concentrated in one month.
