ori9,class,evidence,source
AZDI01900,installation,WALNUT CANYON NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI02000,installation,PIPE SPRING NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI02100,installation,LAKE MEAD NRA; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI02300,installation,YAVAPAI PRESCOTT TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI05200,installation,SAN CARLOS AGENCY; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI05300,installation,HOPI TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI05500,installation,BIA NAVAJO DIV OF PUBLI; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI05900,installation,COLORADO RIVER AGENCY; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI06000,installation,TRUXTON CANON AGENCY; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI06100,installation,FORT MCDOWELL TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI06200,installation,FORT APACHE AGENCY; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI06300,installation,BIA PIMA AGENCY; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI06500,installation,AK CHIN TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI06600,installation,PASCUA YAQUI TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI06700,installation,HUALAPAI TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI06900,installation,YAVAPAI APACHE NATION; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI07200,installation,BIA WESTERN NAVAJO AGEN; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI08100,installation,TONTO APACHE TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI08900,installation,HOPI RESOURCE ENFORCEMEN; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZFBIPX00,national_hq,FBI PHOENIX; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZINS0100,national_hq,U S BORDER PATROL TUCS; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZINS0200,national_hq,US BORDER PATROL YUMA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZINS0300,national_hq,US BORDER PATROL NOGALE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZINS1700,national_hq,US BORDER PATROL YUMA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZINS3600,national_hq,U S BORDER PATROL CASA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZINS4000,national_hq,U S CUSTOMS BORDER PR; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZINS4100,national_hq,U S BORDER PATROL BISB; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZINS4300,national_hq,U S BORDER PATROL TUCS; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZUSC5000,national_hq,US CUSTOMS SERVICE DOUG; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZUSC5100,national_hq,U S CUSTOMS SERVICE NO; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZUSC5800,national_hq,US CUSTOMS SERVICE SELL; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
BDDEA0100,national_hq,DEA BAHAMAS; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CA0190E00,installation,SRS type is federal; current identity is a Los Angeles County railroad footprint,SRS agency panel; agency master; LEAIC 35158
CAATF0500,national_hq,BUREAU OF ATF FRESNO; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAATF0600,national_hq,BUREAU OF ATF LONG BEACH; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAATF0700,national_hq,BUREAU OF ATF OAKLAND; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAATF1100,national_hq,BUREAU OF ATF SACRAMENTO; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAATF1300,national_hq,BUREAU OF ATF RIVERSIDE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAATF1400,national_hq,BUREAU OF ATF SAN DIEGO; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAATF1500,national_hq,BUREAU OF ATF SAN JOSE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAATF1600,national_hq,BUREAU OF ATF SANTA ANA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAATF1900,national_hq,BUREAU OF ATF GLENDALE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAATF2100,national_hq,BUREAU OF ATF SAN FRANCI; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAATF2700,national_hq,BUREAU OF ATF STOCKTON; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAATF3000,national_hq,BUREAU OF ATF EL CENTRO; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAATFLA00,national_hq,BUREAU OF ATF DIST OFFIC; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAATFSF00,national_hq,BUREAU OF ATF DIST OFF S; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CACBP0000,national_hq,U S BORDER PATROL CAMP; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CADEA0200,national_hq,DEA LOS ANGELES; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CADEA2000,national_hq,DEA LOS ANGELES; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CADI00100,installation,DEATH VALLEY NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI00200,installation,JOSHUA TREE NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI00300,installation,LASSEN VOLCANIC NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI00400,installation,POINT REYES NS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI00500,installation,SEQUOIA KINGS CANYON NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI00600,installation,WHISKEYTOWN NRA; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI00700,installation,YOSEMITE NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI00800,installation,CABRILLO NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI00900,installation,CHANNEL ISLANDS NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI01000,installation,GOLDEN GATE NRA; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI01100,installation,PINNACLES NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI01200,installation,REDWOOD NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI01300,installation,JOHN MUIR NHS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI01400,installation,LAVA BEDS NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI01500,installation,MUIR WOODS NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI03900,installation,BLUE LAKE TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI09900,installation,LA JOLLA TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADI0990X,installation,LA JOLLA TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADIF0100,installation,US FISH WILDLIFE SERVI; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADIT0000,installation,TULE RIVER TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADIT0100,installation,HOPLAND TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADIT0200,installation,YUROK TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADIT0400,installation,SYCUAN TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADIT0500,installation,LOS COYOTES TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADIT0700,installation,ROBINSON RANCHERIA TRIBA; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADIT0800,installation,HOOPA VALLEY TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADIT0900,installation,COYOTE VALLEY TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADIT1100,installation,TABLE MOUNTAIN RANCHERIA; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADIT1400,installation,SAN PASQUAL BAND OF MISS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CADIT1600,installation,BEAR RIVER BAND; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CAFBILA00,national_hq,FBI LOS ANGELES; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAFBISC00,national_hq,FBI SACRAMENTO; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAFBISD00,national_hq,FBI SAN DIEGO; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAFBISF00,national_hq,FBI SAN FRANCISCO; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAINS0100,national_hq,US BORDER PATROL CHULA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAINS0200,national_hq,US BORDER PATROL EL CEN; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAINS6200,national_hq,U S BORDER PATROL BLYT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAINS8400,national_hq,US BORDER PATROL SAN DI; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAINS8800,national_hq,U S BORDER PATROL EL C; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAINSA900,national_hq,U S BORDER PATROL INDI; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAINSBF00,national_hq,US BORDER PATROL BROWN; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CASS40300,national_hq,US SECRET SERVICE LOS A; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAUSC5300,national_hq,US CUSTOMS SERVICE SAN; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CAUSM0500,national_hq,US MARSHALS SERVICE FRE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
COATF0200,national_hq,BUREAU OF ATF DENVER; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
COATF0400,national_hq,BUREAU OF ATF COLORADO S; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CODI00100,installation,ROCKY MOUNTAIN; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CODI00200,installation,MESA VERDE NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CODI00400,installation,BLACK CANYON OTG NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CODI00500,installation,COLORADO NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CODI00600,installation,CURECANTI RA; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CODI00700,installation,FLORISSANT FOSS BEDS NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CODI00800,installation,GREAT SAND DUNES NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CODI00900,installation,YUCCA HOUSE NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CODI01000,installation,BENT S OLD FORT NHS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CODI01100,installation,UTE MOUNTAIN TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CODI01200,installation,HOVENWEEP NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CODI01300,installation,SHADOW MOUNTAIN; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CODI01600,installation,BUREAU OF RECLAMATION; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
COFBIDN00,national_hq,FBI DENVER; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
COSS40200,national_hq,US SECRET SERVICE DENVE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CTATF0100,national_hq,BUREAU OF ATF NEW HAVEN; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CTATF0200,national_hq,BUREAU OF ATF DIST OFF H; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
CTDI00200,installation,MASHANTUCKET PEQUOT TRBL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CTDI00300,installation,MOHEGAN TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
CTFBINH00,national_hq,FBI NEW HAVEN; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DC0010500,national_hq,U S DEPARTMENT OF HEALT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DC0010700,national_hq,U S DEPT OF EDUCATION O; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DC0011900,national_hq,Pension Benefit Guaranty Corporation OIG national investigative caseload,FBI NIBRS 2024 Table 40 federal section; SRS agency panel
DC0012400,national_hq,UNITED STATES DEPARTMENT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DC0013000,national_hq,Department of State service-wide federal caseload,FBI NIBRS 2024 Table 40 federal section; SRS agency panel
DC0013100,national_hq,U S DEPARTMENT OF HEALT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DC0019000,installation,Architect of the Capitol polices the Capitol complex footprint,FBI NIBRS 2024 Table 40 federal section; SRS agency panel
DCAF00100,national_hq,UNITED STATES AIR FORCE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCAF00200,national_hq,United States Air Force service-wide rollup registered in Washington,FBI NIBRS 2024 Table 40 federal section; SRS agency panel
DCATF0200,national_hq,BUREAU OF ATF SPECIAL TA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCATF0300,national_hq,BUREAU OF ATF SPECIAL TA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCATF0400,national_hq,BUREAU OF ATF WASHINGTON; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCATF0800,national_hq,BUREAU OF ATF HQ INDUSTR; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCATFWF00,national_hq,BUREAU OF ATF WASHINGTON; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCB0M0100,national_hq,UNITED STATES DEPARTMENT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCBEP0100,national_hq,UNITED STATES DEPARTMENT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCD0A0000,national_hq,United States Forest Service service-wide rollup registered in Washington,FBI NIBRS 2024 Table 40 federal section; SRS agency panel
DCD0L0300,national_hq,Federal department OIG caseload has no installation policing footprint,FBI NIBRS 2024 Table 40 federal section; SRS agency panel
DCD0T0700,national_hq,Federal department-wide caseload has no installation policing footprint,FBI NIBRS 2024 Table 40 federal section; SRS agency panel
DCDEA0100,national_hq,DEA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCDHS0000,national_hq,UNITED STATES DEPARTMENT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCDI00400,national_hq,Bureau of Land Management service-wide rollup registered in Washington,SRS agency panel; agency master
DCDI00500,national_hq,Bureau of Reclamation service-wide rollup registered in Washington,SRS agency panel; agency master
DCDI00600,national_hq,Fish and Wildlife Service service-wide rollup registered in Washington,SRS agency panel; agency master
DCDI00700,national_hq,National Park Service service-wide rollup is distinct from park-specific installation ORIs,SRS agency panel; agency master
DCDI00800,national_hq,Bureau of Indian Affairs headquarters has no DC reservation footprint,SRS agency panel; tribal footprint registry
DCDI01200,national_hq,UNITED STATES DEPARTMENT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCDI05000,national_hq,Bureau of Indian Affairs headquarters has no DC reservation footprint,SRS agency panel; tribal footprint registry
DCDI07500,national_hq,FISH AND WILDLIFE SERVIC; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCDOA0200,national_hq,UNITED STATES DEPARTMENT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCDOD1000,national_hq,Defense Intelligence Agency investigative caseload has no installation policing footprint,SRS agency panel; agency master
DCDOJ1200,national_hq,Department of Justice OIG national investigative caseload,FBI NIBRS 2024 Table 40 federal section; SRS agency panel
