source_family,raw_code_field,raw_code,raw_label,v2_offense,mapping_quality,use_for_v2_2024_assessment,notes
legacy_geocoded,crm_cd,345,DISHONEST EMPLOYEE - GRAND THEFT,larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,347,GRAND THEFT / INSURANCE FRAUD,larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,349,GRAND THEFT / AUTO REPAIR,larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,350,"THEFT, PERSON",larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,351,PURSE SNATCHING,larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,352,PICKPOCKET,larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,353,DRUNK ROLL,larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,440,THEFT PLAIN - PETTY ($950 & UNDER),larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,470,TILL TAP - GRAND THEFT ($950.01 & OVER),larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,480,BIKE - STOLEN,larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,510,VEHICLE - STOLEN,motor_vehicle_theft,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,520,VEHICLE - ATTEMPT STOLEN,motor_vehicle_theft,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
nibrs_offenses,nibr_code,09A,Murder & Nonnegligent Manslaughter,murder,direct_or_near_direct_nibrs,yes,"NIBRS offense codes are the cleanest conceptual mapping to V2, but the public offenses feed lacks coordinates, address, and point geometry."
nibrs_offenses,nibr_code,11A,Rape,rape,direct_or_near_direct_nibrs,yes,"NIBRS offense codes are the cleanest conceptual mapping to V2, but the public offenses feed lacks coordinates, address, and point geometry."
nibrs_offenses,nibr_code,11B,Sodomy,rape,direct_or_near_direct_nibrs,yes,"NIBRS offense codes are the cleanest conceptual mapping to V2, but the public offenses feed lacks coordinates, address, and point geometry."
nibrs_offenses,nibr_code,11C,Sexual Assault With An Object,rape,direct_or_near_direct_nibrs,yes,"NIBRS offense codes are the cleanest conceptual mapping to V2, but the public offenses feed lacks coordinates, address, and point geometry."
nibrs_offenses,nibr_code,120,Robbery,robbery,direct_or_near_direct_nibrs,yes,"NIBRS offense codes are the cleanest conceptual mapping to V2, but the public offenses feed lacks coordinates, address, and point geometry."
nibrs_offenses,nibr_code,13A,Aggravated Assault,aggravated_assault,direct_or_near_direct_nibrs,yes,"NIBRS offense codes are the cleanest conceptual mapping to V2, but the public offenses feed lacks coordinates, address, and point geometry."
nibrs_offenses,nibr_code,220,Burglary/Breaking & Entering,burglary,direct_or_near_direct_nibrs,yes,"NIBRS offense codes are the cleanest conceptual mapping to V2, but the public offenses feed lacks coordinates, address, and point geometry."
nibrs_offenses,nibr_code,23A,Pocket-picking,larceny,direct_or_near_direct_nibrs,yes,"NIBRS offense codes are the cleanest conceptual mapping to V2, but the public offenses feed lacks coordinates, address, and point geometry."
nibrs_offenses,nibr_code,23B,Purse-snatching,larceny,direct_or_near_direct_nibrs,yes,"NIBRS offense codes are the cleanest conceptual mapping to V2, but the public offenses feed lacks coordinates, address, and point geometry."
nibrs_offenses,nibr_code,23C,Shoplifting,larceny,direct_or_near_direct_nibrs,yes,"NIBRS offense codes are the cleanest conceptual mapping to V2, but the public offenses feed lacks coordinates, address, and point geometry."
nibrs_offenses,nibr_code,23D,Theft From Building,larceny,direct_or_near_direct_nibrs,yes,"NIBRS offense codes are the cleanest conceptual mapping to V2, but the public offenses feed lacks coordinates, address, and point geometry."
nibrs_offenses,nibr_code,23E,Theft From Coin-Operated Machine Or Device,larceny,direct_or_near_direct_nibrs,yes,"NIBRS offense codes are the cleanest conceptual mapping to V2, but the public offenses feed lacks coordinates, address, and point geometry."
nibrs_offenses,nibr_code,23F,Theft From Motor Vehicle,larceny,direct_or_near_direct_nibrs,yes,"NIBRS offense codes are the cleanest conceptual mapping to V2, but the public offenses feed lacks coordinates, address, and point geometry."
nibrs_offenses,nibr_code,23G,Theft Of Motor Vehicle Parts Or Accessories,larceny,direct_or_near_direct_nibrs,yes,"NIBRS offense codes are the cleanest conceptual mapping to V2, but the public offenses feed lacks coordinates, address, and point geometry."
nibrs_offenses,nibr_code,23H,All Other Larceny,larceny,direct_or_near_direct_nibrs,yes,"NIBRS offense codes are the cleanest conceptual mapping to V2, but the public offenses feed lacks coordinates, address, and point geometry."
nibrs_offenses,nibr_code,240,Motor Vehicle Theft,motor_vehicle_theft,direct_or_near_direct_nibrs,yes,"NIBRS offense codes are the cleanest conceptual mapping to V2, but the public offenses feed lacks coordinates, address, and point geometry."
