component,current_rule,audit_status,retain_replace_decision,evidence_summary,next_action,owner
municipal_target_year_source_conflict_2026_03_26,Use the municipal target-year estimator as the single source-of-truth for municipal current-year preferred source and observed-vs-fill status once it has resolved a case.,reviewed,replace,"The Florida state-publication lane exposed a second architecture contradiction after reporting and municipal estimates were already correct: municipal_estimates_2024.parquet had Jacksonville city and Fort Lauderdale city on preferred_source = state_publication_annual with reported_regime_usable support, but jurisdiction_estimator.py and the downstream controls build were still reconstructing a competing preferred-source story directly from agency-preferred observations and only using municipal estimates as a zero-count fill patch. That collapsed both cities back to observed_nibrs_rollup in the final 2024 controls even though the municipal estimator had already resolved the target-year municipal truth. The fix was to promote target-year municipal preferred-source truth, reported_count_preferred, dominant_reporting_regime, and estimated_count into the jurisdiction-year estimator for municipal rows so the panel, controls, and municipal estimator now share one current-year municipal source decision.","Keep one target-year municipal truth path: once municipal_estimates resolves a municipal row for the release year, downstream jurisdiction-year estimation and controls must consume that resolution instead of reconstructing a parallel municipal preferred-source stack from agency-level observations.",codex
agency_preferred_state_publication_gap_2026_03_26,Keep the shared agency-preferred source path aligned with the live source ontology so new first-class sources cannot be silently dropped before arbitration.,reviewed,replace,"After the Florida state-publication lane landed, the architecture audit found that src/crimerisk/source_selection.py still filtered the agency observation table down to CIUS / SRS / NIBRS before it built the shared agency-preferred source panel. That meant state_publication_annual rows were present in observations, reporting regimes, municipal_estimator, jurisdiction_estimator, and controls, but were still being silently excluded from build_agency_preferred_observations. The fix was to include state_publication_annual in that filter and then centralize the preferred-source initializer and preferred-value routing in shared helpers inside src/crimerisk/source_provenance.py so source_selection.py, municipal_estimator.py, and controls.py no longer carry slightly different hand-rolled precedence logic.","When a new first-class source lane is added, audit every shared arbitration path against the source ontology and prefer one shared precedence helper over parallel local rewrites.",codex
source_policy_metadata_centralization_2026_03_26,Carry preferred-source metadata through the jurisdiction-year panel instead of recomputing pieces of it later in controls.,reviewed,replace,"The same source-policy audit found that after the panel merge, controls.py still rebuilt pieces of preferred-source metadata locally from partial maps or default source-label logic. The concrete cleanup in this tranche was to (1) replace a local hardcoded preferred_source_origin fallback with source_origin_from_parts(...), (2) promote preferred_conversion_status into jurisdiction_year_estimates so controls.py can consume panel metadata instead of reconstructing it from the bare source label, (3) fix preferred_state_exception_flag so state_publication_annual rows no longer advertise false negative metadata, and (4) remove ontology drift by making STATE_PUBLICATION_SOURCE canonical in source_provenance.py and importing it from there rather than redefining or re-exporting it through producer modules.","Keep provenance and source-policy metadata first-class in the panel artifacts; avoid downstream local reconstructions, lying summary flags, and duplicate source constants that can drift out of sync.",codex
municipal_true_partial_fallthrough_2026_03_26,Apply the same true-partial annualization doctrine in the municipal target-year estimator that the jurisdiction-year estimator already uses.,reviewed,replace,"The architecture audit found that src/crimerisk/municipal_estimator.py never implemented a target-year true-partial branch. Municipal rows with preferred_source = srs_return_a_annual, dominant_reporting_regime = true_partial, positive counts, and sub-12 month coverage were falling straight through to trend_log_linear or other history fills even though the main jurisdiction estimator already treated the same condition as true_partial_month_ratio. The fix was to carry mean_months_reported_preferred through the municipal regime-aware panel and then annualize municipal target-year summary rows with 0 < months < 12 via true_partial_month_ratio before any trend or historical fallback logic runs.","Keep partial-year annualization doctrine consistent across municipal and jurisdiction estimators; if a target-year summary row is explicitly true_partial with positive counts and bounded month coverage, annualize it before invoking trend or historical fallback.",codex
controls_cached_municipal_dependency_2026_03_26,Make the controls build surface explicit about its dependence on the municipal-estimates artifact so estimator fixes cannot stay hidden behind stale cached parquets.,reviewed,replace,"While validating the municipal true-partial fix, the live controls artifact kept showing stale trend_log_linear rows for Doral and St. Augustine even after the municipal estimator code was corrected. The issue was not the estimator logic anymore; build-controls was reusing the previously materialized state/modeling/municipal_estimates_2024.parquet by default. Rebuilding municipal estimates first fixed the downstream controls output. The CLI is now being hardened so build-controls exposes an explicit force-municipal-estimates-rebuild path instead of hiding that dependency behind cached state.",Do not let downstream builds silently depend on stale intermediate modeling artifacts; either rebuild the dependency explicitly or expose a clear force-rebuild option at the CLI boundary.,codex
state_publication_mississippi_lane_2026_03_26,Implement Mississippi Crime Insight / TOPS as the second live state-official publication lane on the same first-class source path as Florida.,reviewed,replace,"Added a Mississippi provider to src/crimerisk/state_publications.py and wired it through the existing state_publication_annual path rather than creating a Mississippi-specific sidecar. The provider now pulls official TOPS report 105 and 115 CSV exports for canonical Mississippi ORIs, caches the raw responses under data/MS-TOPS-2024/raw, writes the parsed canonical extract to data/MS-TOPS-2024/parsed/ms_tops_2024_offense_extract.csv, validates each returned jurisdiction header against the queried ORI's canonical alias set so invalid-member requests cannot silently fall back to statewide Mississippi totals, and uses retry plus a final sequential pass so the state site remains stable under full-cache builds. After rebuilding observations, reporting regimes, and controls, the live Mississippi lane contributes 542 official offense rows across 111 ORIs; all 542 reporting-regime rows classify as annual_only_but_usable; Mississippi 2024 agency preferred-source arbitration now includes 542 state_publication_annual rows; and 8 of the packet's 40 effective-NIBRS zero-observation backfill candidates now carry direct official Mississippi support.","Treat Mississippi as a live state-official source lane with the same explicit source ontology as Florida. The remaining Mississippi problem is now source selection and residual official-coverage tail review, not extractor availability.",codex
state_publication_mississippi_status_prefix_cleanup_2026_03_26,Normalize Mississippi TOPS status-prefixed jurisdiction labels after text standardization and rebuild the parsed extract from raw cache on every call so provider fixes cannot hide behind stale parsed artifacts.,reviewed,replace,"The first Mississippi TOPS pass exposed a second provider-level issue. After _std_text() stripped punctuation, status-prefixed labels like 'Recert - Walls Police Department' and 'Not Reporting Certified - Bolivar County Sheriff's Office' were arriving as 'RECERT WALLS ...' and 'NOT REPORTING CERTIFIED ...', so the original prefix stripper no longer matched and those clean official rows stayed outside the parsed extract. At the same time, ensure_ms_tops_annual_extract(...) was short-circuiting on an existing parsed CSV, which meant matcher changes could remain hidden behind stale parsed state even though the raw TOPS cache was already present. The fix was to make the status-prefix normalizer accept both hyphenated and space-only forms after text standardization, keep agency_name_raw in the canonical alias frame, and always rebuild the parsed Mississippi extract from the raw cache on each call. After rebuilding observations, reporting regimes, and controls, Mississippi state-publication support increased from 542 rows across 111 ORIs to 624 rows across 133 ORIs, and direct effective-NIBRS backfill coverage increased from 8 to 12 candidate agencies.","When a provider relies on cached raw extracts, keep the parsed layer derivable and refreshable from raw cache by default so matcher/normalization fixes immediately propagate. Also normalize status-bearing official labels after whatever text-standardization step actually runs first, not against the prettier pre-normalized string you wish you had.",codex
state_publication_mississippi_tail_reclassification_2026_03_26,Reclassify the residual Mississippi packet tail after live ingestion so stale packet assumptions do not keep masquerading as active 2024 production work.,reviewed,replace,"After the live Mississippi TOPS lane landed, the packet still described the remaining tail as 28 uncovered effective-NIBRS backfill candidates plus one live missing-master omission. A direct post-ingestion audit against the cached raw report_105/report_115 exports and fresh Louin probes showed a different reality. Of the packet's 40 backfill candidates, 12 already carry live state_publication_annual support, 26 have no offense-bearing 2024 target rows in the raw TOPS surfaces at all, 1 has only non-target 2024 property support (Sandersville PD), and only 1 still looks like a real recoverable alias tail (Southwest Mississippi Community College, burglary=5). Direct 2026-03-26 TOPS probes for Louin (MS0310300) returned no offense-bearing 2024 rows, so that note should no longer be treated as a live production omission until an official offense-bearing row actually appears.","Once a state-official lane is live, re-audit any pre-ingestion packet queues against the actual landed raw and parsed surfaces. Do not keep treating packet-era candidate counts or missing-master notes as active production work if the live official source does not currently yield offense-bearing target-year rows.",codex
state_publication_partial_end_to_end_2026_03_26,"Carry quarter-aware state-publication rows through reporting, municipal estimation, panel estimation, and controls as true_partial support instead of degrading them back to zero-only SRS/fill behavior.",reviewed,replace,"Florida exposed a second-order wiring problem after the first state-publication lane landed. The raw observation and reporting layers were already correct for quarter-limited FDLE rows, but later stages still had three contradictions: reporting_regimes.py was clobbering all state_publication_annual preferred rows back to annual_only_but_usable, municipal_estimator.py annualized only SUMMARY_SOURCE true_partial rows, and the municipal target-year override path in jurisdiction_estimator.py force-stamped state-publication month coverage to 12. After fixing those paths and rebuilding, quarter-limited FDLE rows such as Miami Beach, Cape Coral, Davie, Fort Pierce, and Port St. Lucie now land cleanly as preferred_source = state_publication_annual, dominant_reporting_regime = true_partial, and estimate_source = true_partial_month_ratio in the final panel/control layer rather than degrading to zero-only SRS plus hist_median or peer fill.","If a state-official annual publication lane carries bounded target-year coverage rather than a full-year row, treat it end to end as true_partial support. Do not silently collapse that row into complete annual support or back into zero-only fallback behavior later in the estimator stack.",codex
controls_force_rebuild_consistency_2026_03_26,Keep force-rebuild CLI paths behaviorally coherent across all outputs they write; one command must not emit sibling artifacts built from different dependency states.,reviewed,replace,"A follow-through audit on Florida partial-official handling exposed two hidden wrapper bugs. First, write_v2_controls(...) accepted --force-municipal-estimates-rebuild but only passed that dependency refresh to the control build, not to the jurisdiction_year_estimates artifact written by the same command, so build-controls could emit internally contradictory outputs from one invocation. Second, once the force flag was threaded through, the corresponding path in jurisdiction_estimator.py was revealed as dead code: it tried to instantiate MunicipalEstimatorConfig(year=...) even though the config had no year field. The fix was to (1) propagate force_municipal_estimates_rebuild through write_v2_controls into the jurisdiction-year estimator build, (2) add force_reporting_regimes_rebuild to MunicipalEstimatorConfig so the municipal rebuild path is internally coherent, and (3) replace the invalid year=... call with year_start = year_end = target_year = release year.","Treat CLI force flags as contract surfaces, not convenience hints. If a command writes multiple sibling artifacts, every output must be built from the same refreshed dependency state, and the forced path must actually execute rather than hiding dead code behind the cached default path.",codex
reporting_regime_force_cli_exposure_2026_03_26,Expose reporting-regime rebuild control on the municipal and controls build commands so those wrappers cannot silently rely on a stale modeling artifact after source or regime logic changes.,reviewed,replace,"The follow-through audit showed that ControlBuildConfig and MunicipalEstimatorConfig both already carried force_reporting_regimes_rebuild, but the user-facing build-controls and build-municipal-estimates commands did not expose that flag at all. In practice that meant reporting-regime logic could change while the main downstream build wrappers still reused the cached agency_year_reporting_regimes.parquet artifact unless the operator already knew to run build-reporting-regimes manually first. The fix was to add --force-reporting-regimes-rebuild to both CLI commands and pass it through the wrappers into the corresponding configs.","If a downstream build genuinely depends on a cached modeling artifact, expose the rebuild control at the command boundary. A code-only force flag is not a real build contract and will eventually produce stale, contradictory outputs.",codex
geometry_force_cli_exposure_2026_03_26,Expose geometry cache invalidation at the CLI boundary so build-geometry can rebuild stale per-state block assignments instead of always silently reusing cached shards.,reviewed,replace,"The same wrapper audit that found stale reporting-regime controls exposed an analogous geometry problem. build_block_crosswalk(...) already accepted force_rebuild and cached per-state block assignments under state/geometry/blocks_by_state, but write_v2_geometry(...) and the user-facing build-geometry command never surfaced or passed that control. As a result, changing reference/geometry logic could still leave build-geometry reusing stale state shards while appearing to rebuild the top-level crosswalk outputs. The fix was to thread force_rebuild through write_v2_geometry(...) and expose --force-rebuild on build-geometry.","If a command writes artifacts from cached per-state shards, surface the shard rebuild control at the CLI boundary. Otherwise a nominal rebuild can still be behaviorally stale.",codex
city_share_canonical_build_surface_2026_03_26,Promote the city incident share surface into the canonical src/ CLI build path and reject stale cache reuse when the enabled city set changes.,reviewed,replace,"The architecture audit found that build-outputs consumed state/modeling/city_incident_share_surface.parquet as a production input even though that artifact was only produced by a side script under scripts/review/city. Worse, the allocator treated a missing artifact as an empty frame, and the cached artifact remained reusable even after the packet/config gates moved on to a different enabled city set. The fix was to add src/crimerisk/city_shares.py as the canonical builder, expose build-city-incident-shares in the main CLI, add --force-city-incident-share-rebuild to build-outputs, and validate the cached artifact against the currently enabled city set before reusing it. Once that cache validation was made explicit, the repo surfaced a real blocker instead of hiding it: san_francisco is currently enabled by packet/config truth but does not yet have canonical builder support.","Do not let review-side scripts remain the only producers of live production inputs. Promote those builders into the canonical src/CLI path, and never treat a cached artifact as valid if the current enablement gates no longer match the content it was built for.",codex
city_source_refresh_contract_2026_03_26,Make city incident share rebuild controls explicit about whether they rebuild only the derived artifact or also refresh the underlying raw city-source cache.,reviewed,replace,"The next architecture-audit pass found that even after city_shares.py became canonical, force-rebuilding the city incident share artifact still reused whatever raw Socrata/cache snapshot happened to be on disk. That made the build contract ambiguous: a nominal rebuild could still be behaviorally stale if the upstream city feed had changed. The fix was to add an explicit raw-source refresh contract through build-city-incident-shares --force-source-refresh and build-outputs --force-city-incident-source-refresh, thread that control through the canonical city-share builders, and treat source refresh as a first-class rebuild choice rather than an implicit side effect.","When production code depends on cached third-party city-source pulls, separate artifact rebuild from source refresh explicitly. Do not let a nominal rebuild silently reuse a stale raw-source snapshot.",codex
san_francisco_row_retention_contract_2026_03_26,"Keep the San Francisco incident feed at raw row granularity until the packet-reviewed incident_number x offense hardening step, rather than collapsing rows earlier on incident_id.",reviewed,replace,"The first canonical San Francisco builder pass materially undercounted robbery aggravated_assault burglary larceny and motor_vehicle_theft even though the packet-local hardening artifacts and the raw DataSF feed already supported the reviewed five-offense path. The root cause was architectural rather than substantive: _load_san_francisco_raw_snapshot(...) was deduping the raw feed on incident_id before offense mapping. In the live DataSF contract, multiple rows can share one incident_id while carrying different offense-bearing or courtesy/update semantics. That early collapse could replace the offense-bearing row with a courtesy report or lower-severity row before mapping ever happened. The fix was to stop deduping on incident_id, preserve the raw feed through mapping, and then apply the packet-style incident_number x v2_offense dedupe contract later in the canonical builder. After rebuild, the canonical San Francisco counts returned to the reviewed offense-selective boundary and the live ags_core outputs were rewritten against that surface.","Do not collapse multi-row city incident feeds before the offense-harmonization contract has been applied. Preserve raw rows until the reviewed dedupe grain is known, and encode that dedupe grain explicitly in the canonical builder instead of inferring a simpler early unique key.",codex
austin_city_share_promotion_2026_03_26,"Promote Austin into the live canonical city-share surface for the bounded exact four-offense path once packet truth, central gating, and the canonical builder all agree.",reviewed,replace,"A follow-through audit on city/local-source promotion found that Austin was stuck in a contradictory state. The packet already said the exact offense-selective path was ready for robbery burglary larceny and motor_vehicle_theft, and the canonical Austin builder already reproduced that boundary against the official published 2024 counts within a few percent, but central gating still kept Austin out of the live city-share surface through stale packet-status wording and notes that still described promotion as future work. The fix was to normalize the Austin packet status to production_ready = yes with offense_selective city-share integration status, update the central source/priority notes to match the live doctrine, rebuild the canonical city-share artifact, and rebuild the live ags_core outputs. Aggravated assault remains intentionally blocked because the empirical refresh candidate still conflicts with APD's published offense-code lookup.","When a city packet, central gating, and the canonical builder already agree on a bounded offense-selective production path, promote it cleanly instead of leaving stale status text to keep the city packet-only. Keep the blocked offenses explicit rather than delaying the promotable slice for the whole city.",codex
output_wrapper_coherent_rebuild_contract_2026_03_26,Make build-outputs a coherent top-level wrapper for its direct upstream artifacts instead of assuming hidden manual pre-steps.,reviewed,replace,"The next architecture-audit pass found that build-outputs still looked like a canonical top-level command while silently assuming jurisdiction_controls_2024.parquet, state_control_comparison.parquet, jurisdiction_year_estimates.parquet, block_group_to_jurisdiction_crosswalk.parquet, and bg_prior_long_2024.parquet were already current. That made one command capable of writing fresh final outputs from stale controls, stale geometry, or a stale modeled-surface cache. The fix was to add explicit rebuild controls to AllocationBuildConfig and the CLI/script wrappers so build-outputs can now rebuild controls, reporting regimes, municipal estimates, geometry, and the cached BG prior before allocation when requested or when required artifacts are missing.","If a top-level command writes final release artifacts, its direct upstream rebuild contract must be explicit at the command boundary. Do not rely on operators to know hidden sibling-artifact pre-steps.",codex
bg_prior_geometry_dependency_2026_03_26,Invalidate the cached BG prior when the block-group geometry crosswalk changes.,reviewed,replace,"The same wrapper audit exposed a real stale-cache bug in src/crimerisk/allocation.py: bg_prior_long_2024.parquet depended operationally on the block_group_to_jurisdiction_crosswalk used inside build_bg_feature_frame and build_model_surface, but the cache dependency check only watched controls and selected covariate inputs. That meant geometry changes could leave the modeled-surface cache behaviorally stale even after geometry rebuilds succeeded. The fix was to add the block-group geometry crosswalk to the BG-prior dependency set and to force a BG-prior rebuild automatically when build-outputs is asked to rebuild geometry.","Cache invalidation for modeled surfaces must include every artifact that changes the effective training/application frame, not just the obvious covariate files.",codex
nibrs_preference_helper_centralization_2026_03_26,Centralize the shared NIBRS-over-summary preference rule so agency selection and controls cannot drift apart on the same arbitration question.,reviewed,replace,"A follow-through source-policy audit found that src/crimerisk/source_selection.py and src/crimerisk/controls.py still carried near-duplicate boolean logic for when NIBRS should outrank summary/SRS after CIUS and state-publication precedence were applied. The rules were intended to be the same, but they had already diverged once during the broader source reset, which is exactly the kind of hidden contradiction that makes the pipeline hard to reason about. The fix was to move that shared boolean into build_prefer_nibrs_mask(...) inside src/crimerisk/source_provenance.py and make both call sites use the same helper. Municipal-estimator simplification remains a separate follow-through audit item.","When two live layers answer the same source-arbitration question, keep the rule in one shared helper instead of duplicating the boolean expression and hoping they stay synchronized.",codex
municipal_source_arbitration_centralization_2026_03_26,Use the same shared NIBRS-over-summary preference helper in the municipal estimator that the agency selector and control layer already use.,reviewed,replace,"A follow-through architecture audit found one remaining live source-arbitration fork: src/crimerisk/municipal_estimator.py still preferred NIBRS only when no SRS existed or the dominant regime had already explicitly chosen NIBRS, while src/crimerisk/source_selection.py and src/crimerisk/controls.py were already using the shared build_prefer_nibrs_mask(...) helper. That left municipal target-year source choice behaviorally different from the rest of the pipeline. The fix was to route the municipal estimator through the same helper with its available regime and month-coverage signals. On the live regime-aware municipal panel this changes 606 municipal jurisdiction-year-offense rows, including large downward Florida 2020 larceny/burglary cleanups where implausible or weaker SRS rows had been winning and upward recoveries such as Lakewood CO 2019 and Athens CCD GA 2019 where NIBRS had stronger support than the old municipal shortcut recognized.","Keep source arbitration centralized. If municipal estimation, agency selection, and controls answer the same SRS-vs-NIBRS question, they must share one helper rather than parallel local rewrites.",codex
config_surface_taxonomy_2026_03_26,"Keep the top-level configs surface honest about which CSVs are production-wired, which are review-only, and which are dormant templates.",reviewed,replace,"A repo-surface audit found that several CSVs under configs/ looked equally canonical from the root even though only a subset are actually read by live src production code. In particular, service_structure_notes.csv, feature_source_inventory.csv, and model_diagnostic_review.csv are review/program-support surfaces rather than production inputs, while municipal_target_overrides.csv and jurisdiction_overrides.csv are currently dormant templates not wired into live src production. README now distinguishes those classes explicitly instead of implying that every top-level CSV is a live override surface.","Do not present review notes or dormant templates as if they were active production config. Either wire a config into live src code, archive it, or label it clearly as review/support or dormant.",codex
dormant_template_policy_2026_03_26,Keep municipal_target_overrides.csv and jurisdiction_overrides.csv intentionally dormant until the repo has an explicit contract and consuming src build path for them.,reviewed,retain,"The follow-through architecture audit confirmed that these files are empty or under-specified templates rather than partially implemented production surfaces. No live src production code reads them, and wiring them now would create exactly the kind of half-finished override path that has previously made the repo hard to reason about. The tracker and README now state that they remain intentionally unwired at the current stage.","Leave the templates on disk for future deliberate design work, but do not wire them, populate them, or treat them as active production configs until their contract and rebuild implications are explicit.",codex
city_packet_gate_durability_2026_03_26,"Treat packet_status.csv and packet_offense_status.csv as durable, versioned production-gating inputs wherever the live build depends on them.",reviewed,replace,"A follow-through architecture audit on the city-share lane found a real hidden contradiction. Central config and canonical builder support still treated New York, Chicago, and Seattle as active first-wave city paths, but the repo had already switched the live gate to packet-local status files and those packet_status.csv files were still stale scaffold placeholders. Because those packet files lived under ignored state/, the effective production gate had drifted without normal version-control visibility and the live city_incident_share_surface.parquet had silently shrunk to only Austin and San Francisco. The fix was twofold: normalize the stale packet status files to match reviewed packet truth, and force-track all packet_status.csv and packet_offense_status.csv files so future production-gating changes cannot hide in ignored local state.","When packet-local status files are behavior-bearing inputs to the live build, they must be treated as durable versioned state rather than ignored scratch review output. Keep summary artifacts regenerable, but track the packet gate files themselves.",codex
