state_fips,county_fips,agency_or_structure_name,issue_type,service_structure_summary,implication_for_pipeline,source_links,note_status
28,,Jackson city,municipal_target_review,"Jackson has an active official Jackson Police Department and the repo series collapse after 2020 reads as a continuity/source failure rather than invalid target geometry.",Keep the standalone municipal control row and investigate the post-2020 continuity gap rather than demoting the city target.,state/review/packets/municipal_targets/jackson_ms/recommendation.csv,active
13,,Ray City city,municipal_target_review,"Ray City is an incorporated municipality with an active Ray City Police Department, and the current all-fill condition reflects broken or corrupted reporting continuity for `GA0100300` rather than an invalid target or sheriff-replacement service structure.","Keep the standalone municipal control row and treat the missing support as a reporting continuity/backfill problem, with Georgia Bureau of Investigation agency extract or direct city police records as the preferred recovery surface.",state/review/packets/municipal_targets/ray_city_ga/recommendation.csv,active
24,,College Park city,municipal_target_review,"College Park is incorporated but does not operate its own police department; Prince George's County Police is the citywide primary policing surface, with UMPD and other agencies as overlaps.",Drop the standalone municipal police target and treat College Park through Prince George's County primary service plus university/special overlap layers.,state/review/packets/municipal_targets/college_park_md/recommendation.csv,active
13,,Macon-Bibb County,municipal_target_review,"Macon-Bibb County is a real consolidated city-county primary jurisdiction whose law-enforcement surface now runs through the Bibb County Sheriff's Office after consolidation.",Keep the standalone municipal control row and route Bibb Sheriff reporting into the Macon-Bibb target rather than leaving it in nonmunicipal remainder.,state/review/packets/municipal_targets/macon_bibb_ga/recommendation.csv,active
12,,Pompano Beach city,municipal_target_review,"Pompano Beach is policed by Broward Sheriff's Office under contract, but official city and FDLE materials still support a real city-specific annual reporting surface tied to FL0060700 through 2020.",Keep the standalone municipal control row and treat the all-fill condition as a continuity/backfill problem after the SRS-to-NIBRS transition rather than an invalid target.,state/review/packets/municipal_targets/pompano_beach_fl/recommendation.csv,active
12,,Deltona city,municipal_target_review,"Deltona has been policed by the Volusia Sheriff's Office under contract since incorporation, and FDLE county-and-municipal offense reports do not publish a separate Deltona agency row.",Do not keep a standalone municipal police control row; treat the current all-fill state as an agency-definition or fallback-crosswalk error rather than a broken continuity problem for a real Deltona police surface.,state/review/packets/municipal_targets/deltona_fl/recommendation.csv,active
06,,Downey city,municipal_target_review,"Downey is a real full-service city with an active Downey Police Department, and California DOJ's official Crime in California 2024 report says Downey PD was unable to report in 2024 due to system issues.",Keep the standalone municipal control row and treat the full-fill condition as a reporting continuity failure on CA0192000 rather than an invalid target or sheriff-primary service structure.,state/review/packets/municipal_targets/downey_ca/recommendation.csv,active
28,,Gulfport city,municipal_target_review,"Gulfport is a real city-police target with an active Gulfport Police Department, and official Mississippi Crime Insight/TOPS publications provide agency-specific 2024 Gulfport Police Department reporting.",Keep the standalone municipal control row and treat the all-fill state as a broken Mississippi state-source continuity/backfill lane rather than an invalid target or county service-structure case.,state/review/packets/municipal_targets/gulfport_ms/recommendation.csv,active
12,,Daytona Beach city,municipal_target_review,"Daytona Beach has a real active city police department, and FDLE publishes Daytona Beach Police Department as a normal municipal row in official county-and-municipal offense reports.",Keep the standalone municipal control row and treat the full-fill condition as a reporting continuity and publication-ingestion failure on FL0640100 rather than an invalid target or sheriff-contract structure.,state/review/packets/municipal_targets/daytona_beach_fl/recommendation.csv,active
12,,Homestead city,municipal_target_review,"Homestead is a real city with an active Homestead Police Department, and FDLE's county-and-municipal offense reporting still published Homestead as a normal municipal police row before the current break.","Keep the standalone municipal control row and treat 2024 as a pre-2025 reporting gap rather than an invalid target or county-replacement service structure, using the official FBI CDE roster and FDLE publication path as the continuity explanation.",state/review/packets/municipal_targets/homestead_fl/recommendation.csv,active
12,,Melbourne city,municipal_target_review,"Melbourne is a real city with an active Melbourne Police Department, and FDLE county-and-municipal offense publications list Melbourne Police Department as a separate Brevard municipal agency through 2021.","Keep the standalone municipal control row and treat the 2021-2024 zero/full-fill state as a reporting continuity or extraction failure on `FL0050700`, using FDLE's post-2021 incident-based offense publication path as the preferred backfill surface.",state/review/packets/municipal_targets/melbourne_fl/recommendation.csv,active
22,,Livingston town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#22:municipal:place:2244655,pending
12,,North Miami city,municipal_target_review,"North Miami has an active official North Miami Police Department and Miami-Dade County still treats it as a separate municipal police agency; the all-fill state reflects broken state/public reporting continuity on FL0131800 rather than sheriff-primary or contract policing.","Keep the standalone municipal control row and treat the missing 2024 support as a state-publication/repo-ingestion continuity failure, using official North Miami Police records/statistical surfaces if a local override is needed.",state/review/packets/municipal_targets/north_miami_fl/recommendation.csv,active
12,,Lauderhill city,municipal_target_review,"Lauderhill has an active municipal police department and is not a Broward Sheriff's Office contract city, but FDLE's public post-2021 publication surfaces no longer carry a usable Lauderhill row even though FL0061800 remains a live city police identity.",Keep the standalone municipal control row and treat the all-fill condition as a state-publication and repo-continuity failure on FL0061800 rather than an invalid target or sheriff-primary service structure.,state/review/packets/municipal_targets/lauderhill_fl/recommendation.csv,active
13,,Augusta-Richmond County consolidated government (balance),municipal_target_review,"Augusta-Richmond County consolidated government (balance) is the real consolidated municipal target; the active reporting surface should be the sheriff anchored to the consolidated government rather than a separate CCD row.",Keep the balance row as the single consolidated primary municipal control row and route sheriff plus any legacy police aliases there rather than carrying a second CCD target.,state/review/packets/municipal_targets/augusta_ga/recommendation.csv,active
12,,Fort Myers city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1224125,pending
12,,Deerfield Beach city,municipal_target_review,"Deerfield Beach is currently policed by Broward Sheriff's Office under contract, but FDLE's county-and-municipal offense reports still support a real Deerfield-specific annual reporting surface tied to FL0060200 through 2020, with a retained blank row in 2021.","Keep the standalone municipal control row and treat the full-fill condition as a contract-city reporting continuity and publication failure after the Florida SRS-to-NIBRS transition rather than an invalid target.",state/review/packets/municipal_targets/deerfield_beach_fl/recommendation.csv,active
12,,Oakland Park city,municipal_target_review,"Oakland Park is currently policed by Broward Sheriff's Office under contract, but official city and FDLE materials still support a real Oakland Park-specific municipal reporting surface tied to FL0062400 through 2020, with a retained blank row in 2021.","Keep the standalone municipal control row and treat the full-fill condition as a contract-city reporting continuity and publication failure after the Florida SRS-to-NIBRS transition rather than an invalid target.",state/review/packets/municipal_targets/oakland_park_fl/recommendation.csv,active
04,,South Tucson city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#04:municipal:place:0468850,pending
28,,Meridian city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#28:municipal:place:2846640,pending
13,,Union City city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#13:municipal:place:1378324,pending
12,,Sunrise city,municipal_target_review,"Sunrise has an active city-run police department, Broward Sheriff materials reviewed here do not show Sunrise as a BSO contract-policing city, and FDLE publishes Sunrise Police Department as a municipal row in official county-and-municipal offense reports through 2021.","Keep the standalone municipal control row and treat the 2024 full-fill condition as a reporting continuity / publication-ingestion failure on FL0062700 rather than an invalid target or sheriff-primary service structure.",state/review/packets/municipal_targets/sunrise_fl/recommendation.csv,active
17,,Quincy city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#17:municipal:place:1762367,pending
12,,Ocoee city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1251075,pending
12,,Ocoee city,municipal_target_review,"Ocoee has an active city police department, FDLE's last usable statewide municipal row is the substantive 2020 Ocoee Police Department row, FDLE's 2021 report retains a named but blank Ocoee row, and the public FDLE FIBRS workbook plus live FBI CDE roster do not provide a usable incident-based Ocoee backfill for 2024.","Keep the standalone municipal control row and treat the current all-fill state as an official-publication continuity gap rather than Orange County replacement, contract policing, or target invalidity; use direct Ocoee Police Department records only if post-2020 city-specific override counts are later required.",state/review/packets/municipal_targets/ocoee_fl/recommendation.csv,active
12,,Plant City city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1257550,pending
22,,Hammond city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#22:municipal:place:2232755,pending
12,,Dania Beach city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1216335,pending
12,,Tamarac city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1270675,pending
17,,Bloomington city,municipal_target_review,"Bloomington has an active Bloomington Police Department and current city-level crime publication surfaces, while Illinois' public Crime in Illinois portal says 2023-forward agency publication is certification-gated. The current all-fill condition is therefore a public-publication or continuity mismatch rather than McLean County replacement or target invalidity.","Keep the standalone municipal control row for Bloomington city; do not reroute IL0570100 to McLean County, and treat missing 2023-2024 support as an Illinois publication/continuity-repair or city-override task.",state/review/packets/municipal_targets/bloomington_il/recommendation.csv,active
12,,Hallandale Beach city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1228452,pending
17,,Calumet City city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#17:municipal:place:1710487,pending
12,,Ormond Beach city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1253150,pending
17,,Kankakee city,municipal_target_review,"Kankakee has an active official city police department, the City says police incident reports are reviewed monthly through the Public Safety Committee, and Illinois State Police still published a nonzero Kankakee city row in Crime in Illinois 2021. The current all-fill state is best read as an Illinois reporting/publication continuity failure, with 2023-forward public publication further constrained by certification gating, not as sheriff replacement or target invalidity.","Keep the standalone municipal control row for Kankakee city; do not reroute IL0460200 to Kankakee County Sheriff, and treat the 2021-2024 collapse as a continuity/backfill problem requiring city-direct or state-direct recovery for 2022-2024.",state/review/packets/municipal_targets/kankakee_il/recommendation.csv,active
12,,Lauderdale Lakes city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1239525,pending
12,,Palm Beach Gardens city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1254075,pending
12,,Palm Beach Gardens city,municipal_target_review,"Palm Beach Gardens has an active city-run police department, and official FDLE/FIBRS plus FBI roster materials support a real Palm Beach Gardens-specific reporting identity: county-and-municipal through 2020, no 2021 state row at transition, then FDLE FIBRS rows from 2022 forward for FL0502600.","Keep the standalone municipal control row and treat the current full-fill state as a Florida transition and ingestion failure on FL0502600; backfill official FDLE FIBRS observations for 2022-2024 and do not demote the city to Palm Beach County Sheriff.",state/review/packets/municipal_targets/palm_beach_gardens_fl/recommendation.csv,active
12,,DeLand city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1216875,pending
13,,Buford city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#13:municipal:place:1311784,pending
39,,Shaker Heights city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#39:municipal:place:3971682,pending
12,,Port Orange city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1258575,pending
39,,Warren city,municipal_target_review,"Warren is an incorporated city with an active Warren Police Department. Official city police pages, local annual-report and crime-map surfaces, Ohio Attorney General directories, and Trumbull County sheriff materials show the sheriff is a separate county-township layer rather than a city-police replacement.","Keep the standalone municipal control row and treat the 2024 all-fill state as a reporting/publication continuity gap on OH0780700; if direct count repair is pursued, reconcile Warren's much larger 2020-2023 city annual-report totals against the repo's federal/state-derived counts before backfilling.",state/review/packets/municipal_targets/warren_oh/recommendation.csv,active
12,,Opa-locka city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1251650,pending
12,,Winter Garden city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1278250,pending
12,,North Lauderdale city,municipal_target_review,"North Lauderdale is currently policed by Broward Sheriff's Office under a city contract, but official city, BSO, FDLE, and FBI materials still support a real North Lauderdale-specific municipal reporting identity tied to FL0062300 through the substantive 2020 FDLE row and the retained blank 2021 transition row.","Keep the standalone municipal control row and treat the current full-fill state as a contract-city reporting continuity and publication failure after the Florida SRS-to-NIBRS transition rather than an invalid target or Broward county-remainder replacement. Continue estimator-backed handling unless direct North Lauderdale district records or FDLE agency extracts are acquired.",state/review/packets/municipal_targets/north_lauderdale_fl/recommendation.csv,active
12,,Jacksonville Beach city,municipal_target_review,"Jacksonville Beach retains an active city-run police department, Jacksonville's own consolidation materials say the beach communities retained separate police departments, FDLE published Jacksonville Beach Police Department as a municipal row through the retained blank 2021 transition report, and official state/federal incident-based continuity does not become visible again until 2025.","Keep the standalone municipal control row and treat the 2021-2024 full-fill state as a pre-2025 Florida reporting/publication gap on `FL0160300`, not as Jacksonville/Duval sheriff replacement, contract policing, or target invalidity.",state/review/packets/municipal_targets/jacksonville_beach_fl/recommendation.csv,active
12,,Panama City Beach city,municipal_target_review,"Panama City Beach has an active city-run police department, FDLE's Bay County county-and-municipal offense reports publish Panama City Beach Police Department as a distinct municipal row through substantive 2021 legacy reporting, and the current break starts when the public FDLE FIBRS workbook and FBI public roster fail to provide a usable post-2021 annual city row.","Keep the standalone municipal control row and treat the 2024 full-fill state as a post-2021 Florida publication/continuity gap on `FL0030600`, not Bay County sheriff replacement, contract policing, or target invalidity.",state/review/packets/municipal_targets/panama_city_beach_fl/recommendation.csv,active
35,,Deming city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#35:municipal:place:3520270,pending
37,,Sanford city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#37:municipal:place:3759280,pending
22,,Pineville city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#22:municipal:place:2260530,pending
12,,Palm Springs village,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1254450,pending
28,,D'Iberville city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#28:municipal:place:2819180,pending
12,,Opa-locka city,municipal_target_review,"Opa-locka has an active city police department, Miami-Dade's sheriff-transition materials explicitly preserve Opa-locka as a municipality providing its own police services, and FDLE annual county-and-municipal reports support a real Opa-Locka-specific reporting identity through 2021 even though the public FIBRS workbook later drops the row.","Keep the standalone municipal control row and treat the current all-fill state as a Florida publication and repo continuity failure on FL0131200 rather than contract policing, county replacement, or invalid target.",state/review/packets/municipal_targets/opa_locka_fl/recommendation.csv,active
17,,Matteson village,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#17:municipal:place:1747540,pending
12,,Clermont city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1212925,pending
12,,Margate city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1243125,pending
17,,East St. Louis city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#17:municipal:place:1722255,pending
12,,Coconut Creek city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1213275,pending
28,,Natchez city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#28:municipal:place:2850440,pending
27,,Andover city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#27:municipal:place:2701486,pending
36,,Valley Stream village,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:place:3676705,pending
22,,Crowley city,municipal_target_review,"Crowley remains a valid standalone municipal police target. Official city sources show a live Crowley Police Department, Louisiana's 2020 participating-agency list shows Crowley Police Department separately from Acadia Parish Sheriff, the Louisiana Legislative Auditor marks Crowley Police Department 'No' for 2022 FBI reporting rather than 'through Acadia Parish Sheriff's Office,' and the certified 2023 Louisiana LIBRS publication omits Crowley while still showing other Acadia agencies.","Keep the standalone municipal control row and treat the 2022-2024 all-fill state as a Louisiana reporting/publication continuity failure on `LA0010100` rather than an Acadia Parish replacement or invalid-target case.",state/review/packets/municipal_targets/crowley_la/recommendation.csv,active
28,,Columbus city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#28:municipal:place:2815380,pending
22,,Denham Springs city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#22:municipal:place:2220435,pending
