analysis_date,case_key,ori,agency_name,source_rank,source_role,source_name,source_url,file_format,access_mode,live_status_2026_03_24,geometry_coverage,production_usability,recommended_use,notes
"2026-03-24","DCMTP0000","DCMTP0000","WMATA Metro Transit Police",5,"facility_inventory","WMATA parking details by station","https://www.wmata.com/service/parking/parking-details.cfm","HTML page","public","200 OK","Official inventory of Metro stations with parking, station addresses, and lot or garage presence","yes_with_address_geocoding","yes_secondary","Use to add park-and-ride and garage facilities that are part of WMATA transit-facility jurisdiction."
"2026-03-24","DCMTP0000","DCMTP0000","WMATA Metro Transit Police",6,"legal_boundary_qc_only","WMATA jurisdiction boundary PDF","https://wmata.com/service/upload/Jurisdiction_Boundary.pdf","PDF","public","200 OK","Official police jurisdiction/service-area map","support_only","yes_qc_only","Use only to QA the multijurisdiction extent; do not convert the whole boundary polygon into the production footprint."
"2026-03-24","DCMTP0000","DCMTP0000","WMATA Metro Transit Police",7,"legal_boundary_qc_only","WMATA Compact annotated PDF","https://www.wmata.com/about/records/public_docs/upload/Compact_Annotated_2009_final.pdf","PDF","public","200 OK","Legal definition of transit facilities and 150-foot bus-stop rule","support_only","yes_qc_only","Needed for legal scope and the 150-foot Metrobus stop treatment, not for direct geometry ingestion."
"2026-03-24","UT0184000","UT0184000","Utah Transit Authority Police",1,"primary_downloadable_geometry","UTA GTFS static feed","https://gtfsfeed.rideuta.com/GTFS.zip","GTFS ZIP","public","200 OK","Official routes, shapes, stops, stop_times, trips, calendar files","yes","yes_primary","This is the cleanest public base geometry for the active UTA service network."
"2026-03-24","UT0184000","UT0184000","Utah Transit Authority Police",2,"facility_inventory","UTA station addresses","https://www.rideuta.com/Rider-Info/Station-Addresses","HTML page","public","200 OK","Official station inventory with line-grouped station names and street addresses","yes_with_address_geocoding","yes_secondary","Use to promote rail stations and transit centers to explicit facilities and to QA GTFS station naming."
"2026-03-24","UT0184000","UT0184000","Utah Transit Authority Police",3,"facility_inventory","UTA park and ride lots","https://www.rideuta.com/Rider-Info/Park-and-Ride-Lots","HTML page","public","200 OK","Official park-and-ride lot inventory with facility names and street addresses","yes_with_address_geocoding","yes_secondary","Use to add official park-and-ride property. Exclude LDS church parking entries from the police-property footprint unless separate UTA control evidence exists."
"2026-03-24","UT0184000","UT0184000","Utah Transit Authority Police",4,"map_qc_only","UTA schedules and maps hub","https://www.rideuta.com/Rider-Tools/Schedules-and-Maps","HTML page","public","200 OK","Official current route and line map hub","support_only","yes_qc_only","Good QA surface for current service structure and missing-facility checks, but GTFS is the primary geometry source."
"2026-03-24","CA0012100","CA0012100","BART Alameda County row",1,"primary_downloadable_geometry","BART GTFS permalink","https://www.bart.gov/dev/schedules/google_transit.zip","GTFS ZIP permalink","public","307 redirect to dated ZIP, final file 200 OK","Official BART GTFS schedules with stops and shapes","yes","yes_primary","Stable permalink explicitly documented by BART and suitable for automated refresh."
"2026-03-24","CA0012100","CA0012100","BART Alameda County row",2,"primary_downloadable_geometry","BART GTFS documentation page","https://www.bart.gov/schedules/developers/gtfs","HTML page","public","200 OK","Official GTFS landing page stating no registration required and publishing the permalink","yes","yes_supporting","Confirms this is a public, registration-free official GTFS surface."
"2026-03-24","CA0012100","CA0012100","BART Alameda County row",3,"primary_downloadable_geometry","BART stations tracks and entrances KMZ","https://www.bart.gov/sites/default/files/2025-12/BART-Stations-tracks-entrances-121025.kmz_.zip","KMZ ZIP","public","200 OK","Official KML package containing station centroids, station entrances, and rail tracks","yes","yes_primary","Best exact public geometry source for the BART rail network and station access points."
"2026-03-24","CA0012100","CA0012100","BART Alameda County row",4,"primary_downloadable_geometry","BART geospatial developer page","https://www.bart.gov/schedules/developers/geo","HTML page","public","200 OK","Official geospatial landing page for stations, tracks, entrances, and district-boundary KML","yes","yes_supporting","Use this page as the stable source catalog rather than hardcoding only the dated KMZ file."
"2026-03-24","CA0012100","CA0012100","BART Alameda County row",5,"do_not_use_for_footprint","BART district boundaries KMZ","https://www.bart.gov/sites/default/files/2025-02/BART_District_Boundaries_2025.kmz_.zip","KMZ ZIP","public","200 OK","BART board election districts","no_for_police_footprint","no","Official but irrelevant for the police footprint; do not substitute election districts for system-property geography."
