case_id,case_class,state,oris,mass_hint,arm,verdict,confidence,kind,replicate_verdicts,downstream_action,packet_file,detail,rationale,resolved_by_cleanup,resolution
c-IL0141300-germantown,token_reporter,IL,IL0141300,13.0,opus,token_reporting_flag,high,cross_class_same_ori_contradiction,"published_zero:genuine_zero_year(opus,medium) via b2-IL0141300-germantown",reconcile_before_apply,batches/batch_031.json,"Packet vocabulary: structural_zero_treat_as_missing. Do not publish 0. Repair basis: the pre-NIBRS clean full years 2018 (20) and 2019 (28) at 12 Return-A months, median 24, in which larceny is 19 of 24 (79% of the agency's own mix). The 2021-2023 NIBRS series (7 on 11 months = 7.6 annualised, 6, 2) must NOT be used as a fill basis — it is the progressive loss of that larceny stream, with 2023 larceny at 1 against a baseline of 19 (5.3%) — yet the 'real report within 2 years' gate will reach 2023's 2 and reproduce the artifact. Recommended 2024: own pre-NIBRS level ~20-24 (population grew 1,278 -> 1,383 over the span), with the peer floor 702.6/100k x 1,383 = 9.7 as the conservative bound; publish ~10-24. EST2024 = 0 [observedx7] is not defensible.","COMPOSITION OVER SLOPE and ABSOLUTE PLAUSIBILITY both fail, and they fail together in a way that identifies the mechanism. The series 24 (2018-19 mean) -> 38 (2020 annualised) -> 7.6 -> 6 -> 2 -> 0 across 2020-2024 reads as a steep but continuous decline; the offence mix shows it is one stream leaving the record. Larceny carried 79% of this agency's baseline mix and is at 5.3% of its own baseline by 2023 and absent entirely by 2024 — the packet's own scorer flags 2023 as composition-distorted on exactly that ground (larceny 50% of the year's total against 79% across baseline years). The break lands at the 2021-01-01 NIBRS onboarding, which is the mechanism. On level alone, a 1,383-person Clinton County village with an own baseline mean of 24 recording zero across all seven streams for a full year has P(0) = 4e-11; that is not a reachable crime outcome. BLANK-AS-ZERO applies: the CIUS printed zero is the frozen Return-A master re-rendering the one NIBRS submission, so the 12-month 'complete' label that denies the year uplift rests entirely on the batch header and the pipeline's CIUS months=12 assumption. Uplift cannot rescue the 0-month Return-A zero. ORI succession ruled out: one ORI, continuously rostered, no twin, no lane change at a name/county break.",1,x-IL0141300-germantown:misread_missing(sol/high)
b2-KY0110200-junction-city,published_zero,KY,KY0110200,12.5,opus,genuine_zero_year,high,cross_class_same_ori_contradiction,"token_reporter:token_reporting_flag(sol,high) via c-KY0110200-junction-city",reconcile_before_apply,batches/batch_005.json,"Keep 0 as observed; do not fill. Record provenance as the NIBRS 12-month batch header rather than the CIUS row. Unrelated item for a different queue: 2022 carries CIUS/SRS 72 against NIB 40 for this same ORI — a lane divergence worth its own check, with no bearing on the 2024 ruling.","Single deciding fact: Junction City has submitted twelve NIBRS months in every year from 2018 through 2024 with no gap (nibrs_start 2009-01-01), so its batch header is a demonstrably reliable completeness signal rather than a returning-filer artifact. Its recent baseline is 3 offences a year (2021: 3, 2023: 3) at 2,294 population, which makes a zero year roughly a 1-in-20 outcome — unremarkable rather than a discontinuity. SRS 0/1mo is the expected residue for a long-standing NIBRS agency and is not a second non-report signal.",1,x-KY0110200-junction-city:misread_missing(opus/high)
b2-OH0070300-bridgeport,published_zero,OH,OH0070300,11.0,opus,misread_missing,medium,cross_class_same_ori_contradiction,"token_reporter:genuine_low_crime(sol,medium) via c-OH0070300-bridgeport",reconcile_before_apply,batches/batch_006.json,"The zero is unusable. The packet's 'DECISIVE PROVENANCE' overstates: the two FBI-side lanes CONTRADICT each other on 2024 coverage — NIBRS batch header says 12 months, SRS Return-A says 1 month. A batch header with zero incident content is a header, not a measurement; the SRS submission record (1 month) is the named BLANK-AS-ZERO condition (publication full-year zero sitting on a 0-2 month submission record). Set 2024 to missing and fillable. Fill basis: own history within 2 years — 2023 4 at NIB 11mo (~4.4 annualized), 2022 5 at 12mo, 2021 8 at 11mo (~8.7) — giving ~5-6 Part-I offences. EST2024=0 observed is not defensible; a printed zero cannot be rescued by uplift and silently deletes the agency. Cheap settling test for the reviewer: pull the NIBRS segment-level zero-report indicator — a genuine zero-crime year shows 12 explicit zero-report records; an auto-generated header shows none.","SRS month coverage decays in lockstep with the counts (2020: 12mo/10, 2021: 7mo/8, 2022: 7mo/5, 2023: 6mo/4, 2024: 1mo/0), which is the signature of a dying feed rather than falling crime — COMPOSITION OVER SLOPE applies, and the smoothness of the decline is not evidence. Crucially SRS months exceed offence counts in 2022 (7 months, 5 offences), so the months field is measuring submission coverage, not months-with-a-crime, and 1 month for 2024 means the agency effectively stopped submitting. A full year with zero larcenies for a 1,522-person Rust Belt village PD whose own recent full-coverage expectation is ~4-5 is a roughly 1% Poisson event. Medium confidence because the NIBRS 12-month header is a real field that I am choosing to discount on the strength of the contradicting SRS record.",1,x-OH0070300-bridgeport:misread_missing(opus/medium)
c-TX0980200-spearman,token_reporter,TX,TX0980200,11.0,opus,token_reporting_flag,high,cross_class_same_ori_contradiction,"published_zero:genuine_zero_year(luna,high) via b2-TX0980200-spearman",reconcile_before_apply,batches/batch_034.json,"Structural zero: treat 2024 as MISSING, not observed, and treat 2022 and 2023 the same way — all three years are the same defect and the fix must cover the whole stretch. The agency reported 15 (2018), 11 (2019), 21 (2020) and 8-on-8-months (2021, annualising to 12) with a tight own rate of about 490/100k, then SRS months collapsed from 11, 10, 9, 7 to exactly 0 for three straight years while the NIBRS lane kept claiming 12 months and emitting nothing. Recommended 2024 value: own-history median of the last real full-coverage years (15, 11, 21 gives median 15; adding the annualised 2021 gives a mean of 14.8, tightly identified), population-adjusted for the 3,267 to 3,002 decline, so about 13-14 offences, distributed on the baseline composition (agg assault 5.3, burglary 5.3, larceny 3, MVT 1.7). CRITICAL RULE INTERACTION: the new 'own-history fills require a real report within 2 years' guard BLOCKS this fill, because the last real year is 2021, three years back — and the fallback peer fill would insert 929.7/100k x 3,002 = 27.9 offences, nearly double this agency's own well-identified 490/100k level. The guard needs an exception for agencies with three or more consistent full-coverage years immediately preceding the gap; applied literally here it forces a fill that is worse than the own-history estimate, while publishing 0 is worse than either. Also: CIUS printed zeros for 2022, 2023 and 2024 on a 0-month Return-A submission — this is the BLANK-AS-ZERO artifact in its purest f","P(total=0) against this agency's own demonstrated mean of 15.7/yr is 1.5e-07, per year, for three consecutive years. That is not a reachable crime outcome for a 3,000-person city with a functioning police department under any calibration, and it is not rescuable as a partial year because the SRS lane records 0 received months and uplift is multiplicative. The break is joint and abrupt: the Return-A lane dies at exactly the year the totals go to zero, while the NIBRS batch header continues to claim full 12-month coverage — the header claim is unverifiable and is the only thing asserting completeness. Composition adds nothing (uniform zero) but is not needed; the level alone is decisive. This is the single largest defect in the batch by mass: roughly 14 offences a year x three years x weight 1.0 onto one municipal polygon.",1,x-TX0980200-spearman:misread_missing(opus/high)
c-OH0070300-bridgeport,token_reporter,OH,OH0070300,10.5,sol,genuine_low_crime,medium,cross_class_same_ori_contradiction,"published_zero:misread_missing(opus,medium) via b2-OH0070300-bridgeport",reconcile_before_apply,batches/batch_035.json,Keep 0; the NIBRS batch records 12 months so the SRS one-month metadata does not make the year partial. EST2024=0 defensible.,"Long-standing NIBRS reporter whose totals declined 27 to 4 before reaching zero; a zero year is attainable for ~1,522 residents.",1,x-OH0070300-bridgeport:misread_missing(opus/medium)
b2-KY1130300-uniontown,published_zero,KY,KY1130300,10.0,opus,genuine_zero_year,high,cross_class_same_ori_contradiction,"token_reporter:token_reporting_flag(sol,high) via c-KY1130300-uniontown",reconcile_before_apply,batches/batch_007.json,"Keep 0 and do not fill; EST2024 = 0 is defensible. The decisive fact is the 2023 row: NIB 2 at 12 months proves this ORI's NIBRS feed emits positive Part-I counts when they exist, so the 2024 zero is a measured zero rather than an inert feed. Filling this agency-year would fabricate crime for an 892-person city.","Uniontown has an unbroken 12-month NIBRS record since well before the panel window (nibrs_start 2009-01-01): 2021 = 0, 2022 = 0, 2023 = 2, 2024 = 0, all at full coverage — a settled level, not a one-year collapse. At the demonstrated recent intensity of about 0-2 offences a year in a town of ~890, P(0) is on the order of 15-40%, so a zero year is an ordinary draw rather than an anomaly. The CIUS printed zero adds nothing (it derives from the same submission), but it does not need to — the full-year NIBRS submission with a proven-live feed carries the ruling on its own.",1,x-KY1130300-uniontown:misread_missing(opus/high)
c-LA0190100-clinton,token_reporter,LA,LA0190100,9.5,sol,token_reporting_flag,high,cross_class_same_ori_contradiction,"published_zero:genuine_zero_year(luna,high) via b2-LA0190100-clinton",reconcile_before_apply,batches/batch_037.json,Structurally missing; 2 SRS months and zero cannot be annualized; replace from validated state/local source or a model anchored to 2022. EST2024=0 not defensible.,"BLANK-AS-ZERO: all-seven publication zero over two SRS months, following the same artifact on one month in 2023.",1,x-LA0190100-clinton:token_reporting_flag(sol/high)
c-IL0090100-ashland,token_reporter,IL,IL0090100,9.0,opus,token_reporting_flag,high,cross_class_same_ori_contradiction,"published_zero:genuine_zero_year(luna,high) via b2-IL0090100-ashland",reconcile_before_apply,batches/batch_037.json,"Packet vocabulary: structural_zero_treat_as_missing. Do not publish 0. Repair basis: the agency's own pre-gap full years, 2018 (5) and 2019 (28) at 12 Return-A months. The 2020 row must NOT be used as a 12-month baseline year — the CIUS total of 5 comes from a row carrying only 6 of 7 offence rows with larceny blank, and the same-year Return-A is 9 on 6 months (18 annualised); the pipeline currently admits it as 'via CIUS, 12 months, tier hi', which is wrong on both months and offence coverage. Recommended 2024: peer floor 702.6/100k x 1,164 = 8.2 up to the own 2018-2020 level of ~9-18; publish ~8-12. EST2024 = 0 [observedx7] is not defensible, and the 'real report within 2 years' gate blocks the correct own-history fill (last real report 2020), so this year needs either a widened gate or a peer fill.","ABSOLUTE PLAUSIBILITY fails. A 1,164-person Cass County village with its own PD and an own baseline mean of 12.7 offences a year — 28 as recently as 2019 — recording zero across all seven streams for a full year has P(0) = 3e-6 at that baseline. The provenance is the Illinois signature seen three times in this batch: total silence for 2021, 2022 and 2023 (zero SRS months each year), then a roster NIBRS start of 2024-01-01 whose very first NIBRS row is a 12-month all-zero. BLANK-AS-ZERO applies exactly as warned: the CIUS printed zero is the frozen Return-A master re-rendering that one NIBRS submission, not an independent corroboration, and CIUS lane standing then converts an unverified batch-header month count into tier hi / weight 1.0 / 12 months by assumption. Uplift cannot rescue the 0-month SRS zero. COMPOSITION gives no signal (uniform zero), so the level test decides. Worth recording as a batch-level defect rather than an Ashland-specific one: five of the seven Illinois agencies here (Ashland, Gifford, Assumption, Albers, Stone Park) have a 2020 CIUS row flagged NoF7 with the larceny row blank and a CIUS total materially below the same-year Return-A total — that is one systematic 2020 Illinois publication/parse defect, not five coincidences, and admitting those rows as 12-month tier-hi baseline years depresses every affected agency's own-history baseline and makes its later token zeros look less anomalous than they are. ORI succession ruled out.",1,x-IL0090100-ashland:misread_missing(opus/high)
c-MN0400600-cleveland,token_reporter,MN,MN0400600,9.0,sol,token_reporting_flag,medium,cross_class_same_ori_contradiction,"published_zero:genuine_zero_year(luna,high) via b2-MN0400600-cleveland",reconcile_before_apply,batches/batch_037.json,"Structural zero, treat missing; cautious repair from the 2021-23 median ~1, with a higher model estimate possibly justified. EST2024=0 not defensible.",Moved from ~9-12 offences to 1 then two all-stream zeros while SRS fell from three months to one then zero.,1,x-MN0400600-cleveland:misread_missing(opus/medium)
c-MN0610200-starbuck,token_reporter,MN,MN0610200,9.0,sol,token_reporting_flag,medium,cross_class_same_ori_contradiction,"published_zero:genuine_zero_year(opus,low) via b2-MN0610200-starbuck",reconcile_before_apply,batches/batch_037.json,"Zero covers at most 6 believable months; since 0x12/6 is still zero, mark missing and estimate ~7-9 from recent history. EST2024=0 not a defensible repair.",All three lanes repeat one submission; six months of Return-A coverage cannot substantiate a complete year and zero is an extreme collapse.,1,x-MN0610200-starbuck:misread_missing(opus/medium)
b2-MN0110700-pillager,published_zero,MN,MN0110700,8.5,opus,misread_missing,medium,cross_class_same_ori_contradiction,"token_reporter:genuine_low_crime(sol,medium) via c-MN0110700-pillager",reconcile_before_apply,batches/batch_009.json,"Treat the 2024 zero (and the identical 2023 zero) as non-reports rather than measurements; make the agency-year missing and fillable. Own-history fill from the last positive year, 2022 (=4), which sits exactly at the 2-year recency boundary — expected fill is ~4. Magnitude is immaterial (a 524-person village on an exclusive municipal footprint); the ruling exists so a printed zero is not recorded as an observed fact.","The only pro-zero evidence is the 12-month NIBRS batch header, and this same batch demonstrates that signal is unreliable — Fort Towson (OK0120500) carries 12-month NIBRS headers with zero for four straight years after a hard step down from 25, which cannot be a true zero. Pillager's series 28/13/5/5/4/0/0 is a smooth monotone decay beginning at nibrs_start 2019-02-01, which is exactly the partial-feed decay pattern, not evidence of a genuine floor; two consecutive exact zeros against a pre-death lambda of ~4.7 sits at roughly 1e-4. SRS records 0 months in both 2023 and 2024, so nothing independently corroborates coverage. I hold this at medium, not high: a 524-person village genuinely reaching zero is not absurd, and the trend-extrapolated lambda of 1-2 would make it merely unlikely.",1,x-MN0110700-pillager:unclear_escalate(opus/medium)
b2-IL0580100-blue-mound,published_zero,IL,IL0580100,8.0,luna,genuine_zero_year,high,cross_class_same_ori_contradiction,"token_reporter:token_reporting_flag(opus,high) via c-IL0580100-blue-mound",reconcile_before_apply,batches/batch_010.json,[raw:true_zero] 2024 is a genuine zero-year; retain 0 for all seven offenses.,The 2024 NIBRS batch header confirms complete 12-month reporting with zero offenses. The 0-month SRS lane is not the deciding evidence.,1,x-IL0580100-blue-mound:misread_missing(opus/high)
c-KY0470400-west-point,token_reporter,KY,KY0470400,8.0,sol,token_reporting_flag,high,cross_class_same_ori_contradiction,"published_zero:genuine_zero_year(luna,high) via b2-KY0470400-west-point",reconcile_before_apply,batches/batch_039.json,"0 believable months, treat missing; repair ~10 from 2018-21 central level with peers as guardrail. EST2024=0 not defensible.","7-14 offences in 2018-21 fell to 2 when SRS coverage hit two months, then zero in both 0-month years.",1,x-KY0470400-west-point:genuine_zero_year(sol/medium)
c-NM0090400-hurley,token_reporter,NM,NM0090400,8.0,sol,token_reporting_flag,high,cross_class_same_ori_contradiction,"published_zero:genuine_zero_year(opus,high) via b2-NM0090400-hurley",reconcile_before_apply,batches/batch_039.json,Treat missing rather than annualizing; replacement ~8-11 from recent credible reporting (2022 annualized ~8.7). EST2024=0 not defensible.,"Alternates meaningful reports with all-zero years including a 7-month zero in 2023 and a 0-month SRS record in 2024, against an own baseline near 11.",1,x-NM0090400-hurley:misread_missing(opus/high)
