case_id,state,oris,provenance_kind,verdict,downstream_action,believable_months,arm,confidence,mass_hint,replicate_conflict,needs_review,detail,cleanup_pass,cleanup_reason,original_class,residue_pass,merged_from,final_pass,final_reason
b2-VT0141000-norwich,VT,VT0141000,full_year_nibrs_backed,misread_missing,treat_missing_repair,,opus,high,17.5,0,0,"The printed zero is unusable; mark 2024 missing and fillable. Fill from own history — 2023 = 20 at 12mo in BOTH lanes (a clean, unambiguous full year, well inside the within-2-years rule); the 2018-2023 median is 21.5. Recommend ~20-21. EST2024=0 observed deletes a real agency's full year from a w=1 exclusive municipal footprint.",retained_pre_cleanup,,,dedupe_kept,c-VT0141000-norwich(token_reporter/opus/high):token_reporting_flag->treat_missing_repair,retained_pre_final,
x-NM0090400-hurley,NM,NM0090400,cleanup_merged_packet,misread_missing,treat_missing_repair,,opus,high,14.0,0,0,"2024 should go MISSING and fillable for NM0090400. Critically, the fill must exclude this ORI's own zero years: hist_median over 2018-2023 is contaminated by the 2021 and 2023 zeros, which this ruling holds to be non-reports. Anchor on the positive years only (2018 CIUS 14, 2019 SRS 8, 2022 NIB 8 -> level ~8-11) or use a size-band peer fill for (1000,2500]. 2023 (NIB 0 on 7 months, SRS 0 on 3 months) carries the same signature and should be re-examined in the same pass. No succession issue: on the 2024 roster, single exclusive w=1 footprint (place 3533850, Hurley town).",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-KY0110200-junction-city,KY,KY0110200,cleanup_merged_packet,misread_missing,treat_missing_repair,1,opus,high,12.5,1,1,"2024 should go MISSING and fillable for KY0110200. Do not use trend_log_linear or hist_median naively -- this ORI's own history is wildly unstable (3, 72, 3) and the 2022 lane divergence (CIUS 72 vs NIB 40) means even the peak year has two vintages; a size-band peer fill for local_police in (1000,2500] is the defensible route. No succession issue: on the 2024 roster (NIBRS since 2009-01-01), unbroken panel rows 2018-2024, single exclusive w=1 footprint (place 2141338, Junction City city). Note the roster lists two counties (BOYLE, LINCOLN) while the footprint is one place at w=1 -- worth a Stage-2 check but it does not affect this verdict.",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
b2-PA0071000-williamsburg,PA,PA0071000,zero_month_submission,misread_missing,treat_missing_repair,,opus,high,11.0,0,0,"The printed zero is unusable and must not stand. Set 2024 to missing and fillable. Fill basis: own history with a real report inside 2 years — 2023 is 8 at SRS 8mo (~12 annualized) and CIUS 8; 2019 is 16 at 12mo; 2018 is 11. A fill of ~8-12 Part-I offences is defensible for a 1,188-person borough PD. EST2024=0 observed is not defensible: 0 x any uplift is still 0, so leaving it as observed permanently deletes the agency from the panel. Also note the agency is is_nibrs=False with no NIBRS row at all, so there is no second FBI lane that could ever corroborate this zero — the CIUS row is the only thing asserting a full year.",retained_pre_cleanup,,,dedupe_kept,c-PA0071000-williamsburg(token_reporter/sol/high):token_reporting_flag->treat_missing_repair,retained_pre_final,
b2-SD0290100-miller,SD,SD0290100,full_year_nibrs_backed,misread_missing,treat_missing_repair,,opus,medium,11.0,0,0,"Treat the 2024 zero as missing and fillable. Fill basis: own history within 2 years — 2023 is 4 at NIB 9mo (~5.3 annualized), 2020 is 5 at 12mo, 2019 is 5 at 9mo (~6.7) — giving ~4-6 Part-I offences for this 1,319-person town. EST2024=0 observed is not defensible. Do NOT treat the 2022 zero as supporting evidence: it sits on NIB 4 months and SRS 0 months, i.e. it is a partial-year zero and statistically uninformative by the standing rule. Same settling test as Bridgeport: pull the NIBRS segment-level zero-report indicator — twelve explicit zero-report records would flip this to genuine_zero_year, their absence confirms an auto-populated header.",retained_pre_cleanup,,,dedupe_kept,c-SD0290100-miller(token_reporter/opus/medium):token_reporting_flag->treat_missing_repair,retained_pre_final,
b2-AL0340400-slocomb,AL,AL0340400,cleanup_merged_packet,misread_missing,treat_missing_repair,,opus,high,11.0,0,0,"Carry 2024 as MISSING and fillable, and treat 2023 the same way (NIB 0 on 2 months plus SRS 0 on 0 months is a non-report, not a zero). 2022 (11, 12-month NIBRS, also published in CIUS) is the last real report and sits at the 2-year boundary, so the own-history anchor is ~11-15 (2021 = 15). Nothing here is uplift-repairable: a 0-month zero and a 2-month zero both annualise to 0.",cleanup_ruling,explicit_escalate,published_zero,retained_pre_residue,,retained_pre_final,
b2-MO0570700-hawk-point,MO,MO0570700,cleanup_merged_packet,misread_missing,treat_missing_repair,9,opus,high,11.0,0,0,"The 2024 agency-year must go MISSING and be filled, not carried as an observed complete zero on place 2931024. The defensible anchor is the agency's own last real years -- 11 on a 12-month 2018 (CIUS) and 6 on 11 months of 2019 (about 6.5 annualised) -- i.e. roughly 6-11 offences, which the band peer median (503.4/100k, ~3.8) understates by two- to threefold; note that the pipeline's within-2-years rule blocks that own-history fill, so this needs an explicit override or a flagged low-weight fill. Residual risk to record: if Lincoln County SO has taken over policing, the fill may overlap sheriff-recorded counts inside the city limits.",cleanup_ruling,structural_plausibility_residue,published_zero,retained_pre_residue,,retained_pre_final,
x-OH0070300-bridgeport,OH,OH0070300,cleanup_merged_packet,misread_missing,treat_missing_repair,,opus,medium,11.0,1,1,"2024 should go MISSING and fillable for OH0070300. This is the weakest misread ruling in the batch and the counter-evidence deserves to travel with it: OH0070300 is a 26-year NIBRS reporter (start 1998-04-01) with 11-12 month NIBRS coverage in every year on record and a smooth monotone decline (27, 11, 10, 8, 5, 4) that tracks a 13% population loss (1,756 -> 1,522) -- the most genuine-looking decline in the batch. If a supervisor re-opens any single case here, make it this one. Fill: anchor on the recent credible full years (2022 CIUS 5, 2023 NIB 4 on 11mo -> level ~4-6) rather than the 16/yr baseline, since part of the decline is probably real. No succession issue: on the 2024 roster, single exclusive w=1 footprint (place 3908560, Bridgeport village).",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-MO0600500-goodman,MO,MO0600500,cleanup_merged_packet,misread_missing,treat_missing_repair,,sol,high,10.5,0,0,year goes missing and fillable,cleanup_ruling,merged_same_ori_pair,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-KY1130300-uniontown,KY,KY1130300,cleanup_merged_packet,misread_missing,treat_missing_repair,,opus,high,10.0,1,1,"2024 should go MISSING for KY1130300, but the fill decision needs one extra check the panel can answer: whether Uniontown PD is still the policing agency. If it is, fill from the pre-collapse full years (2018 CIUS 36, 2019 CIUS 18, 2020 NIB 13 -> level ~13-22) or a size-band peer fill for (0,1000] (peer median 503.4/100k). If policing has passed to the Union County Sheriff or KSP, the year should be missing WITHOUT an own-history fill, so the county/remainder lane carries the exposure and the city is not double-counted. Do NOT use hist_median across 2018-2023 either way -- it averages in the 2021, 2022 and 2024 zeros this ruling holds to be non-reports. 2021, 2022 and 2023 carry the same signature and should be re-examined in the same pass. No succession issue on the ORI itself: on the 2024 roster (NIBRS since 2009), single exclusive w=1 footprint (place 2178492, Uniontown city).",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
b2-CA0309600-irvine-valley-college,CA,CA0309600,zero_month_submission,misread_missing,treat_missing_repair,,opus,high,9.5,0,0,"Treat 2024 as missing and fillable. Do not carry the printed 0. Fill from own CIUS history anchored on the two most recent real full years (2022=8, 2023=5), i.e. roughly 5-6, NOT the 6-year median 9.5 which is dragged up by 2018-2019 (17, 11) and ignores the monotone decline. Peer-rate fill is structurally unavailable: FBIpop is 0/null for every year of this ORI. Separately flag that this ORI sits on 06:statewide_overlap_layer w=1, so whatever value lands gets smeared across all of California — a campus agency's counts should not ride a statewide layer.",retained_pre_cleanup,,,retained_pre_residue,,retained_pre_final,
b2-IL0970300-norris-city,IL,IL0970300,cleanup_merged_packet,misread_missing,treat_missing_repair,,sol,high,9.5,0,0,"ORI IL0970300 (NORRIS CITY, IL). Panel should carry: MISSING. No own-history fill is defensible because the last positive report was 2020, which fails the within-2-years rule.",cleanup_ruling,explicit_escalate,published_zero,retained_pre_residue,,retained_pre_final,
b2-ME0101300-veazie,ME,ME0101300,cleanup_merged_packet,misread_missing,treat_missing_repair,,opus,high,9.0,0,0,"The 2024 agency-year must go MISSING and be filled from the agency's own recent record, not carried as an observed complete zero on cousub 2301978780. The own-history anchor is strong and in-policy: 2021-2023 are all 12-month NIBRS years at 13, 4 and 5 offences (median 5), with a 2023 real report well inside the within-2-years fill rule. Do not use the band peer median (702.6/100k, ~12.8) -- the agency's own recent level is the better anchor and is roughly 5.",cleanup_ruling,structural_plausibility_residue,published_zero,retained_pre_residue,,retained_pre_final,
b2-IL0169C00-south-suburban-college,IL,IL0169C00,full_year_nibrs_backed,misread_missing,treat_missing_repair,,opus,medium,8.5,0,0,"Treat the 2024 zero as a non-report; the agency-year should be missing and fillable. Fill from own history — the last real report is 2023 (=9), inside the 2-year recency rule; median of the non-zero best-values 2018-2023 (9, 8, 6, 5, 9) is 8. Footprint is a statewide overlap layer at w=1, so the mass impact is immaterial either way; the point is not to let a printed zero stand as a measurement.",retained_pre_cleanup,,,retained_pre_residue,,retained_pre_final,
r-OK0120500-fort-towson,OK,OK0120500,residue_merged_packet,misread_missing,treat_missing_repair,,opus,high,8.5,0,0,"2024 goes MISSING and fillable — and 2021, 2022 and 2023 must be flagged MISSING on the identical basis, otherwise any own-history fill for 2024 is laundered by them. ZERO believable months in all four years. Fill anchored on the last full-coverage years with real submissions: 2018 (28, SRS 12mo + NIB 12mo), 2019 (18 NIB 12mo / 17 CIUS), 2020 (25, SRS 12mo + NIB 12mo) → ~25/yr; composition larceny ~12, burglary ~6.3, agg assault ~3.3. REJECT mass_hint 8.5: both the CIUS-lane median {2018:28, 2019:17, 2022:0, 2023:0} and the quoted 'full-year median 8.5' average two real years against two automatic-zero years — that figure is own-history laundering, not a base rate. Magnitude caveat: the own anchor (~25/yr, i.e. ~5,040/100k at pop 496) is ~10x the peer-band rate (503.4/100k → ~2.5/yr), so before filling, check for a live successor — if Choctaw County Sheriff now covers Fort Towson town, the packet's superseded-ORI rule applies and the footprint routes there instead of being filled.",,both_reject_DIFFERENT_repair,published_zero+token_reporter,residue_ruling,b2-OK0120500-fort-towson;c-OK0120500-fort-towson,retained_pre_final,
x-MN0110700-pillager,MN,MN0110700,cleanup_merged_packet,unclear_escalate,retain_current_flag_review,,opus,medium,8.5,1,1,"Escalating rather than guessing -- this is the one case in the batch where the record genuinely does not separate the hypotheses, and the per-capita stakes are the highest in the batch (either direction moves a 524-person place by roughly 800-2,000 per 100k). WHAT WOULD SETTLE IT, in order of decisiveness: (1) whether Pillager PD was operationally active in 2023-2024 -- the MN BCA 'Minnesota Uniform Crime Report' agency table, or any MN BCA/POST roster carrying sworn-officer counts for MN0110700; (2) the Cass County Sheriff's ORI (MN0110000) totals for 2022 -> 2024 -- a compensating step up in the sheriff's counts would establish a contract/dissolution and make this structural_zero_treat_as_missing with NO own-history fill; (3) the 2023 agency-year, which carries the identical signature and should be ruled in the same motion rather than separately. SECONDARY DEFECT worth logging regardless of verdict: the panel line for this ORI carries plc<NA> while the crosswalk assigns place 2750902 (Pillager city) at w=1 exclusive -- the place field is null in the panel rendering but populated in the crosswalk.",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,supervisor_above_mass_disposition,Supervisor disposition: retain the current published value and carry flag_review. The reviewer's unclear_escalate verdict remains visible; only the disposition is supervised.
b2-MO0660200-iberia,MO,MO0660200,cleanup_merged_packet,genuine_zero_year,retain_zero,,sol,medium,8.0,0,0,Carry 0 as an observed 12-month value.,cleanup_ruling,structural_plausibility_residue,published_zero,retained_pre_residue,,retained_pre_final,
x-IL0580100-blue-mound,IL,IL0580100,cleanup_merged_packet,misread_missing,treat_missing_repair,,opus,high,8.0,0,0,"2024 must go MISSING and fillable across all seven offenses, not carried as an observed zero. Own-history fill is unavailable — last real report is 2020, outside the 2-year window — so place 1706756 (Blue Mound village) has to fall to a peer/band fill. 2021-2023 are already zero-month SRS shells (same non-report) and should not be treated as evidence of a low level.",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-MN0640400-morgan,MN,MN0640400,cleanup_merged_packet,genuine_zero_year,retain_zero,,sol,medium,8.0,0,0,carry 0 as observed,cleanup_ruling,merged_same_ori_pair,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-IL0110500-assumption,IL,IL0110500,cleanup_merged_packet,misread_missing,treat_missing_repair,,opus,medium,7.5,0,0,"2024 goes MISSING and fillable for place 1702609 (Assumption city). Fill-source caution: an own-history fill anchored on the post-2021 NIBRS-era values (0/3/0/0) re-imports the same artifact even though 2022 is technically inside the 2-year window; the defensible anchors are the pre-transition full years (2018=11, 2019=21) or a peer/band fill. 2023 is the same artifact and should not stand as an observed zero either.",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-IL0920900-ridge-farm,IL,IL0920900,cleanup_merged_packet,misread_missing,treat_missing_repair,,opus,medium,7.5,0,0,"2024 goes MISSING and fillable for place 1763862 (Ridge Farm village). Own-history fill is legitimate here — 2023 is a real 12-month NIBRS report of 8 offenses, inside the 2-year window — so the polygon should carry an own-history estimate rather than the published zero. No partial-month treatment: the 2024 SRS 1-month zero cannot be uplifted to anything but zero.",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-AL0380900-taylor,AL,AL0380900,cleanup_merged_packet,misread_missing,treat_missing_repair,,opus,medium,7.0,0,0,"Do not carry 0 as observed. The 2024 agency-year goes MISSING and fillable. Own-history fill is available and in-window (2023 NIB 2 on 11 months is a real report within 2 years): carry ~2 Part-I offences, composition larceny-dominant (2018 baseline 5 larceny + 2 MVT; 2023 added 1 agg assault). That repair moves Taylor town from 0 to ~86 per 100k, still only 12% of the 702.6 per 100k peer median for the (1000,2500] band, so the fill is conservative rather than inflationary. Footprint unchanged: place 0175096 ""Taylor town"", w=1 exclusive.",cleanup_ruling,merged_same_ori_pair,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-GA1050200-eton,GA,GA1050200,cleanup_merged_packet,misread_missing,treat_missing_repair,,opus,medium,7.0,0,0,"2024 goes MISSING and fillable for place 1327932 (Eton city). 2023 (4 offenses, real 12-month NIBRS) is inside the 2-year window, so own-history fill applies; no months of 2024 are believable as measured coverage, so this is not a partial-year case.",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
b2-MN0540100-ada,MN,MN0540100,full_year_nibrs_backed,misread_missing,treat_missing_repair,,opus,medium,6.5,0,0,"Drop the 2024 CIUS/NIB zero; mark MN0540100 2024 missing and fillable. Own-history fill is licensed (real report in 2023, within 2 years): best-any-lane 2020-2023 = 8/5/2/11, median ~6.5, so a fill of 6-7 Part-I with a normal small-town mix. Do NOT carry 0 forward.",retained_pre_cleanup,,,dedupe_kept,c-MN0540100-ada(token_reporter/sol/medium):token_reporting_flag->treat_missing_repair,retained_pre_final,
b2-SC0231900-bob-jones-university,SC,SC0231900,cleanup_merged_packet,unclear_escalate,retain_current_flag_review,,sol,medium,6.5,0,1,The panel cannot distinguish a genuine zero from automatic zero-reporting. The 2024 Clery crime log/annual security report identifying incidents and campus policing responsibility would settle it.,cleanup_ruling,structural_plausibility_residue,published_zero,retained_pre_residue,,supervisor_above_mass_disposition,Supervisor disposition: retain the current published value and carry flag_review. The reviewer's unclear_escalate verdict remains visible; only the disposition is supervised.
b2-TX1100400-south-plains-college,TX,TX1100400,cleanup_merged_packet,misread_missing,treat_missing_repair,,sol,high,6.0,0,0,"ORI TX1100400 (SOUTH PLAINS COLLEGE, TX). Panel should carry: MISSING and fillable from eligible recent real history, including 2022.",cleanup_ruling,explicit_escalate,published_zero,retained_pre_residue,,retained_pre_final,
r-PA0100800-mars,PA,PA0100800,residue_merged_packet,misread_missing,treat_missing_repair,,opus,high,6.0,0,0,"2024 goes MISSING and fillable; 2021 (0 filed months) should be flagged MISSING on the same basis. ZERO believable months in 2024 — nothing was submitted in any lane. Fill anchored on the best-covered years available: 2019 (3 on 11 filed months → ~3.3/yr) and the 2018 CIUS publication (6) → own level ~3-6/yr, larceny-dominant (baseline larceny 5, robbery 1). Do NOT use the raw 2022 (3 on 2 months) or 2023 (1 on 2 months) totals as a base rate, and do NOT use their annualisations (x6 → 18 and 6) as fill values — a 2-month window multiplied by six is noise, not a level. Peer-band cross-check is higher (702.6/100k x 1,413 → ~9.9/yr); own history is thin but preferable. Magnitude is the weak part of this ruling: MARS has NO demonstrably full-coverage year anywhere in 2018-2023 (SRS filed months run 5, 11, 6, 0, 2, 2), so the fill rests on a coverage-weighted read rather than a clean anchor.",,both_reject_DIFFERENT_repair,published_zero+token_reporter,residue_ruling,b2-PA0100800-mars;c-PA0100800-mars,retained_pre_final,
x-IL1011000-durand,IL,IL1011000,cleanup_merged_packet,misread_missing,treat_missing_repair,,opus,medium,6.0,0,0,"2024 goes MISSING and fillable for place 1721280 (Durand village). Own-history fill applies — 2023 is a real 12-month NIBRS year of 6 offenses, inside the window. The 2024 SRS 1-month zero offers nothing to annualise.",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-MI7859600-morrice,MI,MI7859600,cleanup_merged_packet,genuine_zero_year,retain_zero,,opus,low,6.0,0,0,"Carry the published 0 as observed for 2024 at place 2655560 (Morrice village) — this is the one ORI in the batch where the zero should stand. Confidence is low because the base rate is contested: on the 2023 measured level (2 offenses) a zero year is a ~1-in-7 outcome, but on the six-year mean (5.3) it is ~1-in-200, and the record cannot say which is the right rate. Flag for revisit if 2025 also comes in at zero — a second consecutive zero would move this into the structural bucket.",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-VA0960400-pound,VA,VA0960400,cleanup_merged_packet,misread_missing,treat_missing_repair,,opus,medium,6.0,0,0,"2024 goes MISSING and fillable for place 5164272 (Pound town). An own-history fill is technically available (2023: 1 offense on 4 NIBRS months, annualising to ~3, inside the window), but the history is thin enough that a peer/band fill is equally defensible. Do not carry any believable month count for 2024 — the 12-month label is not measured coverage.",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-MN0400600-cleveland,MN,MN0400600,cleanup_merged_packet,misread_missing,treat_missing_repair,,opus,medium,5.5,0,0,"2024 goes MISSING and fillable for place 2711872 (Cleveland city), and 2023 is the same artifact. The fill must not be anchored on 2022 (itself already larceny-stripped, so it would re-import the defect); the last intact full year is 2021 (9 offenses, 12-month NIBRS), otherwise use a peer/band fill.",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-TX0980200-spearman,TX,TX0980200,cleanup_merged_packet,misread_missing,treat_missing_repair,,opus,high,5.5,0,0,"2024 goes MISSING and fillable for place 4869476 (Spearman city); 2022 and 2023 are the same artifact and should not stand as observed zeros either. Own-history fill is blocked (last real report 2021, outside the 2-year window), so this falls to a peer/band fill at pop ~3,000.",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
b2-MO0440500-oregon,MO,MO0440500,cleanup_merged_packet,genuine_zero_year,retain_zero,,sol,high,5.0,0,0,Carry 0 as an observed 12-month value.,cleanup_ruling,structural_plausibility_residue,published_zero,retained_pre_residue,,retained_pre_final,
x-IL0090100-ashland,IL,IL0090100,cleanup_merged_packet,misread_missing,treat_missing_repair,,opus,high,5.0,0,0,"2024 goes MISSING and fillable for place 1702505 (Ashland village). Own-history fill is blocked (last real report 2020, outside the 2-year window), so it must fall to a peer/band fill; 2021-2023 are zero-month SRS shells and are already non-reports, not a low level.",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-IL0900400-hopedale,IL,IL0900400,cleanup_merged_packet,misread_missing,treat_missing_repair,,sol,high,5.0,0,0,missing and fillable,cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-KY0290100-burkesville,KY,KY0290100,cleanup_merged_packet,misread_missing,treat_missing_repair,,sol,high,5.0,0,0,missing and fillable,cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-LA0190100-clinton,LA,LA0190100,cleanup_merged_packet,token_reporting_flag,partial_year_uplift,2,sol,high,5.0,0,0,2 believable months,cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
b2-IL0451900-waubonsee-comm-college,IL,IL0451900,cleanup_merged_packet,unclear_escalate,retain_current_flag_review,,sol,medium,4.5,0,1,The panel cannot distinguish genuine zero crime from discontinued or transferred campus policing. The college's 2024 Clery crime log/annual security report identifying incidents and the responsible police agency would settle it.,cleanup_ruling,structural_plausibility_residue,published_zero,retained_pre_residue,,supervisor_above_mass_disposition,Supervisor disposition: retain the current published value and carry flag_review. The reviewer's unclear_escalate verdict remains visible; only the disposition is supervised.
