# stage1_adjudications registry: token_reporters_adjudicated.csv
# source_registry: state/qa/stage1_adhoc_review/token_reporters_adjudicated.csv
# source_pass: pass 4 (apply_stage1_final_rulings.py) landing on passes 1-3
# rows: live rulings only (the per-class registries hold no superseded rows); the full
#   audit ledger with every superseded instance is state/qa/stage1_adhoc_review/rulings_full.csv
# target_year: 2024
# generated_by: scripts/review/source_audit/promote_stage1_adjudications_to_configs.py
# generated_at: 2026-07-30T01:16:56+00:00
# source_sha256: 0b1e46d6c12b253ff2a18f6b7236e0ed5be3b41ff66d921ce8a36f50bcda0fd6
# rows_written: 431
case_id,target_year,state,oris,verdict,downstream_action,believable_months,repair_value_hint,confidence,needs_review,detail
c-AL0640000-walker,2024,AL,AL0640000,token_reporting_flag,treat_missing_repair,,292,high,0,"Structural zero — treat the whole 2024 agency-year as missing (and 2023 likewise, same signature). Fill the full seven-offence vector as a unit from the last credible full years (2021 471, 2022 301) or from the sheriff 25-50k peer rate 706/100k x 41,418 = ~292, preserving a realistic offence mix. The current EST2024 is NOT defensible: 0/0/0/0/0/219.6/0 fabricates a jurisdiction where 100% of Part-I is larceny and zero of everything else, by filling one offence from hist_median while leaving six at observed zero — exactly the per-offence lane mixing the per-agency-year rule was meant to end."
c-FL0030500-springfield,2024,FL,FL0030500,token_reporting_flag,partial_year_uplift,,,high,0,"Reject the SPUB 7. 2024 = 248 from the SRS 12-month submission (0/12/4/51/47/125/9), taken as a full year with no uplift. EST2024=7 is not defensible. Rule-level fix: a state-publication row assigned months=12 by assumption must not outrank a genuine 12-month FBI submission when its total is a small fraction of it — the same FDLE-2024 token-row pattern hits Springfield, Lynn Haven and Pembroke Park in this batch alone."
c-FL0063000-pembroke-park,2024,FL,FL0063000,token_reporting_flag,treat_missing_repair,0,160,high,0,"Reject the SPUB 1 (a single burglary); set 2024 missing. Fill anchored on the agency's OWN established rate, not the peer median: last credible full year is 2020 SRS 230 (3,376/100k) against a band peer median of 1,097 — a peer fill would land near 75 and understate this commercial enclave threefold. Recommend own-rate anchor 230 trended on the Broward/FL 2020-2024 path (~160-230). Two caveats for downstream: the 2-year recency rule currently blocks that own-history path and needs an exception for agencies whose established rate is far off the peer median; and before filling, confirm Broward SO is not already carrying this town's calls, or the mass will double-count."
c-TN0260000-franklin,2024,TN,TN0260000,token_reporting_flag,partial_year_uplift,,,high,0,"Not a credible full year — property-offence class dropout. Keep the person offences (agg assault 51 is already at full-year level) and treat burglary/larceny/MVT as missing, refilling them from the agency's own 2022-2023 property levels; that reconstructs a 2024 total near 250-300, not 77. EST2024=77 observed is not defensible. Note this is class dropout, not month truncation, so a 12/n uplift would be the wrong repair."
c-FL0030700-lynn-haven,2024,FL,FL0030700,token_reporting_flag,partial_year_uplift,,,high,0,"Two stacked errors. (1) Reject the SPUB 6. (2) 2024 = 166 from SRS, taken as a FULL YEAR — the months_reported=1 label is corrupt and the 12/1 annualization must be explicitly suppressed, or the panel gets 1,992 offences (9,113/100k) for a quiet Panama City suburb. Same corrupt 1mo label sits on 2023's 185, so apply the fix to both years. EST2024=6 is not defensible."
c-MO1100300-warrenton,2024,MO,MO1100300,token_reporting_flag,flag_review,,,medium,0,"Not a credible full year. Treat as partial with roughly 3-4 months of believable coverage (66 x 4 = 264 lands on the agency's own 2021-2022 level of 268-285), or equivalently fill from own recent full years discounted for the genuine larceny trend — call it 200-270, not 66. EST2024=66 observed is not defensible. All three lanes carry the same 66, so the multi-lane hint is a non-issue; the defect is inside the single submission."
c-FL0150000-dixie,2024,FL,FL0150000,token_reporting_flag,partial_year_uplift,,29,high,0,"Do not accept 17 as a complete year. The FDLE row covers at most ~7 months and is offense-depleted within those months, so neither the observed 17 nor a 12/7 uplift (~29) is usable. Mark 2024 missing and fill; NOTE the fill is contested: own-history anchor (2019-2020 full years 232/219, pop-scaled) gives ~230, peer anchor (sheriff, 10-25k band, 627.2/100k x 16218) gives ~102 — a 2x spread. The within-2-years own-history rule is blocked (last clean full year 2020), so this fill choice should be escalated rather than defaulted. EST2024=17 observed is not a defensible repair."
c-FL0132700-medley,2024,FL,FL0132700,token_reporting_flag,treat_missing_repair,,195,high,0,"Treat as a non-report, not a partial — there is nothing to uplift. Zero believable months. Fill must come from own history (2019 190/12mo, 2020 194/12mo, pop-scaled -> ~195); a peer fill is CATASTROPHICALLY wrong here (702.6/100k x 1031 = 7 offences) because Medley is a ~1,000-resident Miami-Dade industrial/warehouse district whose own record implies ~19,000/100k from daytime population. The within-2-years own-history rule blocks the correct fill, so escalate the fill window. Also a concrete rule gap: _drop_state_publication_non_reports keys on all-zero, so this total-of-1 row with 0 FBI months slipped through and got stamped 12mo/high/w=1 — extend the rule to a de-minimis threshold ANDed with 0 FBI months."
c-WA0290300-sedro-woolley,2024,WA,WA0290300,genuine_low_crime,accept_observed,,,medium,0,"Let 91 stand; EST2024=91 observed is correct. Do not uplift (no months are missing) and do not fill (any fill would be fabrication over a real measurement). Recommend a separate agency-level data-quality NOTE rather than a value repair: the 285->143->91 halving-twice from 2022 runs ~5x the Washington statewide 2024 decline, and agg assault = 0 in a 13,103-population city is a plausible offense-level gap worth a targeted check with WASPC. Neither observation supports overwriting the number."
c-FL0460300-niceville,2024,FL,FL0460300,token_reporting_flag,flag_review,,,high,0,"Do not accept 40 as complete. Believable coverage is roughly 2-3 months (40/215 of a full year = 2.2 months). Mark 2024 missing and fill at ~222-225 — reassuringly, two independent anchors converge: 2019 own full year 215 at pop 15,947 = 1,348/100k scaled to 2024 pop 16,715 gives ~225, and the peer anchor 1,327.2/100k x 16,715 gives ~222. IMPORTANT downstream guard: the within-2-years own-history rule will find the 2023 (7/5mo) and 2022 (13/4mo) rows and fill from garbage — those years must be excluded from the fill basis. EST2024=40 observed is not defensible."
c-CT0016600-wolcott,2024,CT,CT0016600,token_reporting_flag,partial_year_uplift,,195,medium,0,"FLAG, do not auto-fill. This is a content-depleted feed beginning in 2023, NOT a months-partial, so no uplift applies (the batch headers really are 12 months). If a repair is made, it must come from the pre-2023 own-history level — 2018-2022 median 203, pop-scaled to 16,379 gives ~195 — which means the fill window has to reach past 2023, since the within-2-years rule would otherwise anchor on the equally suspect 2023 value of 42. Honest counter-evidence on the record: SRS carries 10 months WITH data in 2024 and 12 in 2023, and the 2024 mix is internally coherent, so this should be confirmed with CT DESPP / Wolcott PD (RMS or NIBRS-extract change at end of 2022) before any value is written."
c-GA1110000-peach,2024,GA,GA1110000,token_reporting_flag,treat_missing_repair,,117,high,0,"Structural zero — treat as missing, not as a reported zero. Zero believable months. Fill from own history but anchor on 2022 (131 at 12mo in BOTH lanes) rather than 2023: 2023's 68 carries NIB 12mo against SRS 7mo, so it is itself depleted and annualizes to ~117. Recommend ~125-131 (pop essentially flat, 13,309 -> 13,298). Note the peer anchor is much lower (627.2/100k x 13,298 = 83), so record the 83-131 spread; own history is the better anchor for a sheriff whose own full years ran 131-237. EST2024=0 observed is indefensible."
c-FL0570100-milton,2024,FL,FL0570100,token_reporting_flag,partial_year_uplift,,206,high,0,"Do not accept 37 as complete. Believable coverage is ~2 months (37/201 of a full year = 2.2 months; the FBI's own NIBRS row for 2024 is a 1-month stub). Best-supported repair in the whole batch: fill from own history at 2023 = 201 at 12mo, which is INSIDE the within-2-years rule, pop-scaled 11,194/10,909 -> ~206. Prefer this over the peer anchor (1,327.2/100k x 11,194 = 149), since Milton's own clean full years are 199 (2022) and 201 (2023). EST2024=37 observed deletes ~82% of Milton's crime from a w=1 exclusive municipal footprint."
c-AL0340000-geneva,2024,AL,AL0340000,token_reporting_flag,treat_missing_repair,,178,high,0,"Structural zero — treat as missing, not as a reported zero. Zero believable months. Fill from own history, and prefer 2021 (179/178 at 12mo in BOTH lanes, the last clean year, pop-scaled 16,315 -> 16,235 = ~178) over 2022 (81 at NIB 12mo / SRS 8mo, itself depleted; annualizes to ~122). The 2020-2022 median is 111 and the peer anchor is 627.2/100k x 16,235 = 102. Recommend ~110-130 with the 102-178 spread recorded. EST2024=0 observed is indefensible."
c-PA0028500-plum,2024,PA,PA0028500,token_reporting_flag,flag_review,,,high,0,"Do not carry 56 as an observed full year — mark 2024 incomplete/low-confidence. A peer fill (1545.7/100k x 26,145 = ~404) would over-fabricate: Plum's only clean full year (2018, CIUS+SRS 215 = 807/100k) shows it genuinely runs at about half the peer median, so cap any fill at the agency's own historical rate (~200-215) rather than the band median. Roughly 6-8 months of property reporting is the believable coverage. EST2024=56 [observed] is not a defensible output; lane choice is not at fault (CIUS 56 = SRS 56, no larger submission was discarded)."
c-GA0650000-grady,2024,GA,GA0650000,genuine_low_crime,accept_observed,,,high,0,Carry 63 as observed for 12 months; do not uplift.
c-LA0060000-beauregard,2024,LA,LA0060000,genuine_low_crime,accept_observed,,,medium,0,"Keep 113 as observed; no fill or uplift is defensible. Attach a watch flag for the -71% three-year drift (392→330→250→113) so a further step down in 2025 gets re-examined, but do not let slope alone trigger a repair. EST2024=113 [observed] is the correct output."
c-MN0130500-north-branch,2024,MN,MN0130500,token_reporting_flag,flag_review,,,high,0,"Do not carry 32 as an observed full year; mark 2024 incomplete and fillable. Own 2022 full year (157 CIUS / 158 NIB-SRS, inside the 2-year window) and the peer rate (1327.2/100k x 12,137 = 161) converge on ~158-161, so fill at ~160 — the convergence of two independent anchors makes that well-founded. Roughly 2-3 months of property reporting is the believable coverage. EST2024=32 [observed] is not defensible; all three lanes carry the identical 32, so lane choice is not the fault."
c-GA1020000-monroe,2024,GA,GA1020000,token_reporting_flag,flag_review,,,medium,0,"Do not carry 46 as an observed full year; mark 2024 incomplete and fillable. Own 2022 full year (189, at the 2-year window boundary) and the peer rate (706.2/100k x 26,635 = 188) converge on ~188, which is a well-anchored fill target. EST2024=46 [observed] is not defensible. Also flag 2023 (41/12mo) as the same defect — the break is at 2022→2023, not at 2024, so repairing 2024 alone would leave a matching hole in the prior year."
c-IN0350100-huntington,2024,IN,IN0350100,token_reporting_flag,partial_year_uplift,,206,high,0,"Do not carry 67 as an observed full year. The mechanism is a category-selective export/mapping defect, not month truncation, so a partial-year uplift is the WRONG repair — mark the agency-year unusable and fill instead. Own 2022 full year (206, inside the 2-year window) and the peer rate (1327.2/100k x 16,985 = 225) converge on ~206-225; fill at ~206. Also flag 2023 (68/9mo) as the same defect, since it appears first there. EST2024=67 is not defensible; all three lanes carry the identical 67, so lane choice is not the fault."
c-CA0459935-highway-patrol-redding-area,2024,CA,CA0459935,genuine_low_crime,accept_observed,,,medium,0,"Keep 68 as observed; do not fill. Any own-history fill would be fabrication — sibling CHP area offices swing roughly 3x year over year in both directions. Rule note for downstream: the c2 own-history arm should not fire alone on FBIpop=0 state/special-jurisdiction ORIs (4,133 of 18,728 2024 ORIs), because the peer arm is structurally blind to them and no second test exists. Same footprint defect as the CA00199 block — a Shasta-county command smeared to 06:statewide_overlap_layer instead of its actual patrol area."
c-FL0063800-southwest-ranches,2024,FL,FL0063800,token_reporting_flag,treat_missing_repair,,2,medium,0,"Do not accept 26 as a complete 2024. The FBI submission record for FL0063800 in 2024 is SRS 0 total at 0 MONTHS — no submission exists. The SPUB 26 carries months_reported=12 only by the pipeline's no-period-field assumption (artifact 2). At most ~2-3 months of the FDLE feed are believable (26/125 = 21% of the 2021-2023 baseline). EST2024=26 observed is NOT defensible. Because a partial-year value on an unmeasured period cannot be safely uplifted, treat 2024 as missing/fillable and base it on the last full-coverage own-year (2022 NIB/SRS 125 at 12mo), i.e. ~120-130. Two secondary defects to record: (a) the SITUATION text says FBI publishes no population while the panel shows a flat imputed 8046 for all seven years — the peer-rate arm was blinded on a false premise; (b) the crosswalk footprint is 12:statewide_overlap_layer despite plc57425 (Southwest Ranches town) being known. Alternative worth checking before filling: Southwest Ranches is contract-policed, so if 2024 crime migrated to the contracting provider's ORI the right answer is superseded/treat-as-missing with NO fill — filling would then double-count."
c-SC0460500-tega-cay,2024,SC,SC0460500,token_reporting_flag,partial_year_uplift,,0.75,medium,0,"Not a ladder error — CIUS 47, NIB 47 and SRS 47 are all the SAME underlying submission (CIUS derives from the FBI submission and is never independent corroboration), so nothing larger was discarded. This is a within-submission collapse on genuinely full month coverage, so partial-month uplift does not apply. EST2024=47 observed is not defensible. Repair basis: Tega Cay's own historical position against its peer band, not an absolute low-crime assumption — it ran at 1080/100k (2022) and 923/100k (2023), i.e. 70-80% of the 1327 peer median, so the 2024 anchor should be ~0.75 x 1327 x 14456/100k = ~145, which coincides with the 2021-2023 own-history median of 147. Flag for source review (likely 2024 RMS/vendor change) rather than accepting the value."
c-OK0160000-comanche,2024,OK,OK0160000,token_reporting_flag,partial_year_uplift,,132,medium,0,"Not a ladder error — NIB 36 and SRS 36 are the same value at the same 12-month coverage, so nothing larger was discarded. Treat 36 as a materially incomplete year, not a partial-month one: month coverage is genuinely full, so uplift by 12/months does not apply and would not fix it. EST2024=36 observed is not defensible. Repair basis: the 2021-2023 own-history baseline median of 138 for the unincorporated remainder of Comanche County, cross-checked against the sheriff peer band (10k-25k] median 627/100k x 21,029 = ~132. Flag the ORI for a submission-completeness review covering 2023 as well — the 2023 value of 82 already sits at ~60% of baseline, so the defect starts a year earlier than the screen fired."
c-FL0032600-parker,2024,FL,FL0032600,token_reporting_flag,flag_review,,,high,0,"This is a lane-selection failure, not a crime fact. The ladder discarded a larger, genuinely complete submission: SRS Return-A 112 at 12 MEASURED months (0/3/0/14/9/83/3) in favour of an FDLE state-publication row of 2 (0/0/0/0/0/2/0) whose 12-month label is the pipeline's no-period-field assumption (artifact 2). EST2024 should be 112, sourced from srs_return_a_annual; the current EST2024=2 is indefensible and deletes ~98% of a real agency's crime. Corroboration that the SPUB row is empty by construction: ROSTER2024 gives nibrs_start = 2025-01-01, so Parker was still SRS-only through 2024 and Florida's NIBRS-derived publication has essentially no data for it. RULE GAP TO CLOSE: _drop_state_publication_non_reports only catches ALL-ZERO SPUB rows on zero SRS months; extend it to drop any SPUB row that is a tiny fraction (<10-20%) of a same-year FBI submission with full measured month coverage."
c-MN0660000-rice,2024,MN,MN0660000,token_reporting_flag,partial_year_uplift,,5,high,0,"Not a ladder error — NIB and SRS both carry 40 at 12 months. The defect is inside the submission: the larceny feed is broken. Treat 2024 as materially incomplete; month-ratio uplift does not apply because coverage is genuinely full. EST2024=40 observed is not defensible. Repair basis: the 2021-2023 own-history baseline median of 128 for the Rice County unincorporated remainder (2021: 146, 2022: 128 both at full coverage), cross-checked against the sheriff band. Extend the review to 2023 as well — 75 at 12mo is already ~59% of baseline, so the degradation begins in 2023, and note that an own-history fill anchored on 2023 would inherit the defect."
c-OR0070000-crook,2024,OR,OR0070000,token_reporting_flag,partial_year_uplift,,95,high,0,"Not a ladder error in the harmful direction — NIB 21 at 12mo was correctly preferred over SRS 21 at 11mo, but both are the same defective content. The property feed is dead. Treat 2024 (and 2023) as unusable; uplift does not apply since coverage is full. EST2024=21 observed is not defensible. Repair basis: the last clean own-years are 2021 (130) and 2022 (95) at full coverage in both lanes, giving ~95-110; cross-check against the sheriff band (10k-25k] median 627/100k x 15,894 = ~100, which agrees. IMPORTANT CONSTRAINT: the 'own-history fill requires a real report within 2 years' rule will try to anchor on 2023 (13) or 2024 (21) — both defective. This ORI needs an explicit exclusion of 2023-2024 from its own-history basis, or a peer-rate fill instead."
c-ME0100400-lincoln,2024,ME,ME0100400,token_reporting_flag,partial_year_uplift,,110,high,0,"Not a ladder error — NIB 8 at 12mo vs SRS 8 at 10mo is the same value; nothing larger was discarded. Even the most generous partial-month uplift (12/10 x 8 = 9.6) gets nowhere near a credible year, so this is not a partial-year case. EST2024=8 observed is not defensible. Repair basis: the last clean own-years are 2021 (130) and 2022 (112) at full coverage in both lanes, giving ~110-120; peer cross-check gives 929.7/100k x 4,872 = ~45 as a floor, so the own-history anchor is the better basis for a town with this long a record. As with Crook, 2023 (26 at NIB 12mo) is already defective and must be excluded from the own-history fill basis rather than used as the nearest 'real report'."
c-PA0550100-selinsgrove,2024,PA,PA0550100,token_reporting_flag,partial_year_uplift,,52,medium,0,"Do not keep 16 as observed. Believable coverage is roughly 4-5 months (16/44 = 36% of the 2023 full-year level). Refill 2024 from own recent history: 2023 = 44 at 12mo is inside the 2-year window, 2022 = 43/10mo annualizes to ~52, so a hist_median fill of ~44-48 is the defensible repair; annualizing 16 x 12/4.5 lands at ~43, which converges. EST2024 = 16 [observed] is NOT defensible. All three lanes carry the same 16, so the ladder did not discard a larger submission — the flag is about the feed, not lane choice."
c-SD0160000-custer,2024,SD,SD0160000,genuine_low_crime,accept_observed,,,medium,0,"Keep 40 as observed; EST2024 = 40 is defensible. Attach a low-severity trend watch only (four-year monotone slide 178 -> 108 -> 75 -> 40), not a coverage flag. Both lanes (NIB 40/12mo, SRS 40/12mo) carry the identical value, so no larger equally complete submission was discarded by the ladder."
c-AL0510100-monroeville,2024,AL,AL0510100,token_reporting_flag,partial_year_uplift,,158,medium,0,"Do not keep 47 as observed. Believable coverage is roughly 3-4 months (47 vs the 2022-2023 level of 158-199). Refill from own recent history: 2023 = 158 at 12mo is inside the 2-year window and 2022 = 199, giving a hist_median fill of ~158; annualizing 47 x 12/4 gives ~141, which converges. EST2024 = 47 [observed] is NOT defensible. All three lanes carry 47, so no larger complete submission was discarded."
